ProfileID,ModelCondition,ModelID,Datatype,WESKit
PR-24B4W0,MC-001508-tAH6,ACH-001508,wgs,
PR-24IFcm,MC-000080-flxZ,ACH-000080,rna,
PR-27AsBr,MC-001353-5EnB,ACH-001353,rna,
PR-27C2SB,MC-003134-TppJ,ACH-003134,rna,
PR-27KADa,MC-002156-AxZK,ACH-002156,wes,AGILENT
PR-27yVZ5,MC-000136-Im3x,ACH-000136,wes,AGILENT
PR-28WsnQ,MC-000858-toxv,ACH-000858,wgs,
PR-2ae0kb,MC-001694-EG4Q,ACH-001694,wgs,
PR-2AxAKM,MC-000725-fXxs,ACH-000725,wgs,
PR-2bdZSY,MC-001418-YrAD,ACH-001418,wes,AGILENT
PR-2BGNxT,MC-002351-ZOdO,ACH-002351,wes,AGILENT
PR-2BUowi,MC-002290-nhI3,ACH-002290,wes,AGILENT
PR-2CHHvY,MC-000643-0mJe,ACH-000643,wes,AGILENT
PR-2echgq,MC-001379-q3xU,ACH-001379,rna,
PR-2ei6MD,MC-001691-0y4G,ACH-001691,wgs,
PR-2eSD2x,MC-001066-sBYG,ACH-001066,wes,AGILENT
PR-2IQBFl,MC-000711-jmma,ACH-000711,wes,AGILENT
PR-2iYOqs,MC-000262-Ldf3,ACH-000262,wes,ICE
PR-2Jjiec,MC-000661-bVjm,ACH-000661,rna,
PR-2JWZFn,MC-000329-Yx8n,ACH-000329,wes,AGILENT
PR-2kNraO,MC-000355-fX1V,ACH-000355,wes,AGILENT
PR-2kNtFF,MC-000867-HGDX,ACH-000867,wgs,
PR-2KTJS4,MC-001306-fIUy,ACH-001306,wgs,
PR-2LIEYd,MC-000584-fYwY,ACH-000584,wes,AGILENT
PR-2lOuz3,MC-002261-vRZW,ACH-002261,wes,AGILENT
PR-2lppyq,MC-000973-F02J,ACH-000973,rna,
PR-2LRi7T,MC-002044-OqIP,ACH-002044,wes,ICE
PR-2n9k8d,MC-002249-YxB5,ACH-002249,wes,AGILENT
PR-2nuI3M,MC-001542-iWSd,ACH-001542,rna,
PR-2OGFOX,MC-000611-WhVU,ACH-000611,rna,
PR-2oO4yn,MC-000483-PV93,ACH-000483,wes,AGILENT
PR-2qZ6BH,MC-000617-B40F,ACH-000617,rna,
PR-2Rohed,MC-002275-TAqY,ACH-002275,wes,AGILENT
PR-2RtWG6,MC-001802-IUUl,ACH-001802,rna,
PR-2rVY3l,MC-002511-mxVh,ACH-002511,rna,
