method,cluster,n_lines,top_tissue,top_tissue_frac,cross_tissue,nearly_pure,breakdown_json
HC_avg_k34,18,3,lung,0.3333333333333333,True,False,"{""lung"": 0.3333, ""liver"": 0.3333, ""breast"": 0.3333}"
HC_avg_k34,19,6,soft_tissue,1.0,False,True,"{""soft_tissue"": 1.0}"
HC_avg_k34,20,314,central_nervous_system,0.25477707006369427,True,False,"{""central_nervous_system"": 0.2548, ""lung"": 0.1242, ""fibroblast"": 0.121, ""soft_tissue"": 0.1051, ""bone"": 0.0605, ""thyroid"": 0.0414, ""skin"": 0.0382, ""peripheral_nervous_system"": 0.035, ""unknown"": 0.0255, ""eye"": 0.0255, ""breast"": 0.0223, ""liver"": 0.0191, ""uterus"": 0.0159, ""ovary"": 0.0159, ""upper_aerodigestive"": 0.0159, ""urinary_tract"": 0.0159, ""muscle"": 0.0159, ""gastric"": 0.0127, ""bile_duct"": 0.0096, ""kidney"": 0.0064, ""hair"": 0.0064, ""pleura"": 0.0032, ""embryo"": 0.0032, ""colorectal"": 0.0032, ""pancreas"": 0.0032}"
HC_avg_k34,21,12,lung,0.5,False,False,"{""lung"": 0.5, ""thyroid"": 0.4167, ""ovary"": 0.0833}"
HC_avg_k34,22,6,uterus,0.3333333333333333,True,False,"{""uterus"": 0.3333, ""ovary"": 0.3333, ""lung"": 0.1667, ""cervix"": 0.1667}"
HC_avg_k34,23,16,lung,0.25,True,False,"{""lung"": 0.25, ""urinary_tract"": 0.25, ""bone"": 0.125, ""central_nervous_system"": 0.0625, ""ovary"": 0.0625, ""thyroid"": 0.0625, ""breast"": 0.0625, ""pancreas"": 0.0625, ""upper_aerodigestive"": 0.0625}"
HC_avg_k34,24,3,colorectal,0.3333333333333333,True,False,"{""colorectal"": 0.3333, ""lung"": 0.3333, ""bile_duct"": 0.3333}"
HC_avg_k34,25,44,soft_tissue,0.5909090909090909,False,False,"{""soft_tissue"": 0.5909, ""bone"": 0.1818, ""skin"": 0.0682, ""liver"": 0.0455, ""gastric"": 0.0227, ""kidney"": 0.0227, ""peripheral_nervous_system"": 0.0227, ""testis"": 0.0227, ""central_nervous_system"": 0.0227}"
HC_avg_k34,26,17,testis,0.35294117647058826,True,False,"{""testis"": 0.3529, ""embryo"": 0.1765, ""uterus"": 0.1765, ""blood"": 0.0588, ""gastric"": 0.0588, ""liver"": 0.0588, ""colorectal"": 0.0588, ""ovary"": 0.0588}"
HC_avg_k34,27,4,upper_aerodigestive,0.5,False,False,"{""upper_aerodigestive"": 0.5, ""lung"": 0.5}"
HC_avg_k34,28,144,lung,0.4583333333333333,True,False,"{""lung"": 0.4583, ""peripheral_nervous_system"": 0.2083, ""bone"": 0.1667, ""central_nervous_system"": 0.0347, ""colorectal"": 0.0208, ""gastric"": 0.0208, ""eye"": 0.0139, ""uterus"": 0.0139, ""ovary"": 0.0069, ""thyroid"": 0.0069, ""adrenal_cortex"": 0.0069, ""breast"": 0.0069, ""upper_aerodigestive"": 0.0069, ""cervix"": 0.0069, ""prostate"": 0.0069, ""pancreas"": 0.0069, ""skin"": 0.0069}"
HC_avg_k34,29,5,pancreas,0.4,True,False,"{""pancreas"": 0.4, ""gastric"": 0.2, ""lung"": 0.2, ""esophagus"": 0.2}"
HC_avg_k34,30,1,soft_tissue,1.0,False,True,"{""soft_tissue"": 1.0}"
HC_avg_k34,31,3,soft_tissue,0.6666666666666666,False,False,"{""soft_tissue"": 0.6667, ""ovary"": 0.3333}"
HC_avg_k34,32,3,esophagus,0.3333333333333333,True,False,"{""esophagus"": 0.3333, ""kidney"": 0.3333, ""breast"": 0.3333}"
HC_avg_k34,33,52,soft_tissue,0.34615384615384615,True,False,"{""soft_tissue"": 0.3462, ""lung"": 0.2115, ""ovary"": 0.1154, ""uterus"": 0.0769, ""kidney"": 0.0577, ""bile_duct"": 0.0385, ""central_nervous_system"": 0.0385, ""gastric"": 0.0192, ""pancreas"": 0.0192, ""bone"": 0.0192, ""liver"": 0.0192, ""adrenal_cortex"": 0.0192, ""cervix"": 0.0192}"
HC_avg_k34,34,1,gastric,1.0,False,True,"{""gastric"": 1.0}"
HC_avg_k39,1,28,liver,0.4642857142857143,True,False,"{""liver"": 0.4643, ""bile_duct"": 0.3929, ""gastric"": 0.0714, ""lung"": 0.0357, ""pancreas"": 0.0357}"
HC_avg_k39,2,2,thyroid,1.0,False,True,"{""thyroid"": 1.0}"
HC_avg_k39,3,59,kidney,0.6779661016949152,False,False,"{""kidney"": 0.678, ""ovary"": 0.1525, ""urinary_tract"": 0.0508, ""uterus"": 0.0508, ""soft_tissue"": 0.0339, ""liver"": 0.0169, ""lung"": 0.0169}"
HC_avg_k39,4,2,lung,1.0,False,True,"{""lung"": 1.0}"
HC_avg_k39,5,21,lung,0.6666666666666666,False,False,"{""lung"": 0.6667, ""cervix"": 0.1905, ""bile_duct"": 0.0476, ""gastric"": 0.0476, ""uterus"": 0.0476}"
HC_avg_k39,6,16,pancreas,0.4375,True,False,"{""pancreas"": 0.4375, ""bile_duct"": 0.25, ""lung"": 0.125, ""esophagus"": 0.0625, ""gastric"": 0.0625, ""ovary"": 0.0625}"
HC_avg_k39,7,12,lung,0.8333333333333334,False,False,"{""lung"": 0.8333, ""bile_duct"": 0.0833, ""thyroid"": 0.0833}"
HC_avg_k39,8,9,breast,1.0,False,True,"{""breast"": 1.0}"
HC_avg_k39,9,56,ovary,0.5714285714285714,False,False,"{""ovary"": 0.5714, ""uterus"": 0.3929, ""breast"": 0.0179, ""liver"": 0.0179}"
HC_avg_k39,10,442,colorectal,0.17420814479638008,True,False,"{""colorectal"": 0.1742, ""lung"": 0.1652, ""upper_aerodigestive"": 0.1403, ""breast"": 0.1109, ""pancreas"": 0.0928, ""gastric"": 0.0656, ""esophagus"": 0.0611, ""bile_duct"": 0.052, ""urinary_tract"": 0.052, ""cervix"": 0.0271, ""prostate"": 0.0226, ""ovary"": 0.0158, ""skin"": 0.0113, ""central_nervous_system"": 0.0023, ""thyroid"": 0.0023, ""uterus"": 0.0023, ""epidermoid_carcinoma"": 0.0023}"
HC_avg_k39,11,1,urinary_tract,1.0,False,True,"{""urinary_tract"": 1.0}"
HC_avg_k39,12,3,colorectal,0.6666666666666666,False,False,"{""colorectal"": 0.6667, ""gastric"": 0.3333}"
HC_avg_k39,13,2,prostate,1.0,False,True,"{""prostate"": 1.0}"
HC_avg_k39,14,3,esophagus,0.6666666666666666,False,False,"{""esophagus"": 0.6667, ""urinary_tract"": 0.3333}"
HC_avg_k39,15,2,gastric,0.5,False,False,"{""gastric"": 0.5, ""upper_aerodigestive"": 0.5}"
HC_avg_k39,16,1,central_nervous_system,1.0,False,True,"{""central_nervous_system"": 1.0}"
HC_avg_k39,17,259,blood,0.444015444015444,True,False,"{""blood"": 0.444, ""lymphocyte"": 0.4363, ""plasma_cell"": 0.1158, ""lung"": 0.0039}"
HC_avg_k39,18,120,skin,0.8083333333333333,False,False,"{""skin"": 0.8083, ""eye"": 0.1, ""central_nervous_system"": 0.0417, ""soft_tissue"": 0.0167, ""peripheral_nervous_system"": 0.0167, ""bile_duct"": 0.0083, ""unknown"": 0.0083}"
HC_avg_k39,19,1,skin,1.0,False,True,"{""skin"": 1.0}"
HC_avg_k39,20,3,lung,0.3333333333333333,True,False,"{""lung"": 0.3333, ""liver"": 0.3333, ""breast"": 0.3333}"
HC_avg_k39,21,6,soft_tissue,1.0,False,True,"{""soft_tissue"": 1.0}"
HC_avg_k39,22,17,lung,0.6470588235294118,False,False,"{""lung"": 0.6471, ""gastric"": 0.1176, ""ovary"": 0.0588, ""breast"": 0.0588, ""central_nervous_system"": 0.0588, ""liver"": 0.0588}"
HC_avg_k39,23,297,central_nervous_system,0.265993265993266,True,False,"{""central_nervous_system"": 0.266, ""fibroblast"": 0.1279, ""soft_tissue"": 0.1111, ""lung"": 0.0943, ""bone"": 0.064, ""thyroid"": 0.0438, ""skin"": 0.0404, ""peripheral_nervous_system"": 0.037, ""unknown"": 0.0269, ""eye"": 0.0269, ""breast"": 0.0202, ""uterus"": 0.0168, ""upper_aerodigestive"": 0.0168, ""urinary_tract"": 0.0168, ""muscle"": 0.0168, ""liver"": 0.0168, ""ovary"": 0.0135, ""bile_duct"": 0.0101, ""kidney"": 0.0067, ""gastric"": 0.0067, ""hair"": 0.0067, ""pleura"": 0.0034, ""embryo"": 0.0034, ""colorectal"": 0.0034, ""pancreas"": 0.0034}"
