ensg_id,bucket,source_biotype
ensg00000285566,B_no_hgnc_anchor,
ensg00000285585,B_no_hgnc_anchor,
ensg00000285589,B_no_hgnc_anchor,
ensg00000285602,B_no_hgnc_anchor,
ensg00000285625,B_no_hgnc_anchor,
ensg00000285629,B_no_hgnc_anchor,
ensg00000285635,B_no_hgnc_anchor,
ensg00000285641,B_no_hgnc_anchor,
ensg00000285645,B_no_hgnc_anchor,
ensg00000285655,B_no_hgnc_anchor,
ensg00000285708,B_no_hgnc_anchor,
ensg00000285713,B_no_hgnc_anchor,
ensg00000285723,B_no_hgnc_anchor,
ensg00000285733,B_no_hgnc_anchor,
ensg00000285749,B_no_hgnc_anchor,
ensg00000285772,B_no_hgnc_anchor,
ensg00000285777,B_no_hgnc_anchor,
ensg00000285779,B_no_hgnc_anchor,
ensg00000285791,B_no_hgnc_anchor,
ensg00000285816,B_no_hgnc_anchor,
ensg00000285827,B_no_hgnc_anchor,
ensg00000285837,B_no_hgnc_anchor,
ensg00000285839,B_no_hgnc_anchor,
ensg00000285854,B_no_hgnc_anchor,
ensg00000285868,B_no_hgnc_anchor,
ensg00000285880,B_no_hgnc_anchor,
ensg00000285897,B_no_hgnc_anchor,
ensg00000285901,B_no_hgnc_anchor,
ensg00000285920,B_no_hgnc_anchor,
ensg00000285932,B_no_hgnc_anchor,
ensg00000285942,B_no_hgnc_anchor,
ensg00000285947,B_no_hgnc_anchor,
ensg00000285953,B_no_hgnc_anchor,
ensg00000285976,B_no_hgnc_anchor,
ensg00000285978,B_no_hgnc_anchor,
ensg00000285982,B_no_hgnc_anchor,
ensg00000285991,B_no_hgnc_anchor,
ensg00000286001,B_no_hgnc_anchor,
ensg00000286015,B_no_hgnc_anchor,
ensg00000286022,B_no_hgnc_anchor,
ensg00000286070,B_no_hgnc_anchor,
ensg00000286088,B_no_hgnc_anchor,
ensg00000286098,B_no_hgnc_anchor,
ensg00000286112,B_no_hgnc_anchor,
ensg00000286131,B_no_hgnc_anchor,
ensg00000286132,B_no_hgnc_anchor,
ensg00000286143,B_no_hgnc_anchor,
ensg00000286165,B_no_hgnc_anchor,
ensg00000286185,B_no_hgnc_anchor,
ensg00000286192,B_no_hgnc_anchor,
ensg00000286221,B_no_hgnc_anchor,
ensg00000286224,B_no_hgnc_anchor,
ensg00000286235,B_no_hgnc_anchor,
ensg00000286239,B_no_hgnc_anchor,
ensg00000286264,B_no_hgnc_anchor,
ensg00000286268,B_no_hgnc_anchor,
ensg00000286905,B_no_hgnc_anchor,
ensg00000287542,B_no_hgnc_anchor,
ensg00000287585,B_no_hgnc_anchor,
ensg00000287694,B_no_hgnc_anchor,
ensg00000287725,B_no_hgnc_anchor,
ensg00000287839,B_no_hgnc_anchor,
ensg00000287856,B_no_hgnc_anchor,
ensg00000287908,B_no_hgnc_anchor,
ensg00000288000,B_no_hgnc_anchor,
ensg00000288053,B_no_hgnc_anchor,
ensg00000288208,B_no_hgnc_anchor,
ensg00000288520,B_no_hgnc_anchor,
ensg00000288529,B_no_hgnc_anchor,
ensg00000288534,B_no_hgnc_anchor,
ensg00000288550,B_no_hgnc_anchor,
ensg00000288564,B_no_hgnc_anchor,
ensg00000288570,B_no_hgnc_anchor,
ensg00000288591,B_no_hgnc_anchor,
ensg00000288593,B_no_hgnc_anchor,
ensg00000288608,B_no_hgnc_anchor,
ensg00000288614,B_no_hgnc_anchor,
ensg00000288623,B_no_hgnc_anchor,
ensg00000288625,B_no_hgnc_anchor,
ensg00000288626,B_no_hgnc_anchor,
ensg00000288629,B_no_hgnc_anchor,
ensg00000288634,B_no_hgnc_anchor,
ensg00000288635,B_no_hgnc_anchor,
ensg00000288636,B_no_hgnc_anchor,
ensg00000288637,B_no_hgnc_anchor,
ensg00000288640,B_no_hgnc_anchor,
ensg00000288643,B_no_hgnc_anchor,
ensg00000288644,B_no_hgnc_anchor,
ensg00000288645,B_no_hgnc_anchor,
ensg00000288646,B_no_hgnc_anchor,
ensg00000288654,B_no_hgnc_anchor,
ensg00000288661,B_no_hgnc_anchor,
ensg00000288671,B_no_hgnc_anchor,
ensg00000288674,B_no_hgnc_anchor,
ensg00000288678,B_no_hgnc_anchor,
ensg00000288681,B_no_hgnc_anchor,
ensg00000288683,B_no_hgnc_anchor,
ensg00000288684,B_no_hgnc_anchor,
ensg00000288695,B_no_hgnc_anchor,
ensg00000288698,B_no_hgnc_anchor,
ensg00000288699,B_no_hgnc_anchor,
ensg00000288706,B_no_hgnc_anchor,
ensg00000288708,B_no_hgnc_anchor,
ensg00000288710,B_no_hgnc_anchor,
ensg00000288711,B_no_hgnc_anchor,
ensg00000288712,B_no_hgnc_anchor,
ensg00000288715,B_no_hgnc_anchor,
ensg00000288716,B_no_hgnc_anchor,
ensg00000288721,B_no_hgnc_anchor,
ensg00000288725,B_no_hgnc_anchor,
ensg00000288796,B_no_hgnc_anchor,
ensg00000288841,B_no_hgnc_anchor,
ensg00000288914,B_no_hgnc_anchor,
ensg00000289025,B_no_hgnc_anchor,
ensg00000289027,B_no_hgnc_anchor,
ensg00000289258,B_no_hgnc_anchor,
ensg00000289281,B_no_hgnc_anchor,
ensg00000289282,B_no_hgnc_anchor,
ensg00000289325,B_no_hgnc_anchor,
ensg00000289346,B_no_hgnc_anchor,
ensg00000289360,B_no_hgnc_anchor,
ensg00000289490,B_no_hgnc_anchor,
ensg00000289491,B_no_hgnc_anchor,
ensg00000289653,B_no_hgnc_anchor,
ensg00000289690,B_no_hgnc_anchor,
ensg00000289692,B_no_hgnc_anchor,
ensg00000289694,B_no_hgnc_anchor,
ensg00000289697,B_no_hgnc_anchor,
ensg00000289700,B_no_hgnc_anchor,
ensg00000289710,B_no_hgnc_anchor,
ensg00000289715,B_no_hgnc_anchor,
ensg00000289724,B_no_hgnc_anchor,
ensg00000289746,B_no_hgnc_anchor,
ensg00000289747,B_no_hgnc_anchor,
ensg00000289760,B_no_hgnc_anchor,
ensg00000289761,B_no_hgnc_anchor,
ensg00000289763,B_no_hgnc_anchor,
ensg00000289764,B_no_hgnc_anchor,
ensg00000289766,B_no_hgnc_anchor,
ensg00000289767,B_no_hgnc_anchor,
ensg00000289768,B_no_hgnc_anchor,
ensg00000289791,B_no_hgnc_anchor,
ensg00000289809,B_no_hgnc_anchor,
ensg00000290149,B_no_hgnc_anchor,
ensg00000290184,B_no_hgnc_anchor,
ensg00000290203,B_no_hgnc_anchor,
ensg00000290217,B_no_hgnc_anchor,
ensg00000290315,B_no_hgnc_anchor,
ensg00000290316,B_no_hgnc_anchor,
ensg00000290317,B_no_hgnc_anchor,
ensg00000290318,B_no_hgnc_anchor,
ensg00000291239,B_no_hgnc_anchor,
ensg00000291302,B_no_hgnc_anchor,
ensg00000291303,B_no_hgnc_anchor,
ensg00000291312,B_no_hgnc_anchor,
ensg00000291313,B_no_hgnc_anchor,
ensg00000291314,B_no_hgnc_anchor,
ensg00000291315,B_no_hgnc_anchor,
