floor_q,n0,upper_cut,lower_cut,rho
0.1,100,0.4,0.1,0.01851291488161386
0.1,50,0.3,0.1,0.01848211637129071
0.1,50,0.4,0.1,0.018467635463754472
0.1,10,0.3,0.1,0.018467248981671916
0.1,10,0.4,0.1,0.01845890317742161
0.1,25,0.3,0.1,0.018448740992594838
0.1,25,0.4,0.1,0.018438303691910914
0.1,5,0.6,0.1,0.018275729431528387
0.1,100,0.6,0.1,0.018238378986010186
0.1,10,0.6,0.1,0.018213624187894496
0.1,50,0.6,0.1,0.01819770535765608
0.1,25,0.6,0.1,0.018181283284302963
0.1,100,0.5,0.05,0.018068450596679303
0.1,5,0.5,0.05,0.018045521310785143
0.1,50,0.5,0.05,0.01801630859946068
0.1,10,0.5,0.05,0.017992222227701634
0.1,25,0.5,0.05,0.01798151545609413
0.1,100,0.4,0.05,0.017868325173963497
0.1,5,0.4,0.05,0.01784836207151066
0.1,100,0.3,0.05,0.017836667986358468
0.1,50,0.4,0.05,0.017817076222083957
0.1,5,0.3,0.05,0.01779528225759267
0.1,10,0.4,0.05,0.01779470174863674
0.1,25,0.4,0.05,0.017781899215285415
0.1,50,0.3,0.05,0.017777034963507143
0.1,10,0.3,0.05,0.017745319512732047
0.1,25,0.3,0.05,0.01773657178583269
0.1,5,0.6,0.05,0.017663138181499553
0.1,100,0.6,0.05,0.017641640772627518
0.1,100,0.5,0.02,0.017610677522987492
0.1,10,0.6,0.05,0.01760586568395348
0.1,50,0.6,0.05,0.017599203862530697
0.1,5,0.5,0.02,0.01758651665520558
0.1,25,0.6,0.05,0.017579394742148154
0.1,100,0.7,0.1,0.017577801601818228
0.1,5,0.7,0.1,0.01756641546532039
0.1,50,0.5,0.02,0.01755784398046527
0.1,50,0.7,0.1,0.017535195107853625
0.1,10,0.5,0.02,0.017533890830661654
0.1,10,0.7,0.1,0.017525953119219295
0.1,25,0.5,0.02,0.01752286614477566
0.1,25,0.7,0.1,0.01751411199907003
0.1,100,0.4,0.02,0.01741045425907528
0.1,5,0.4,0.02,0.017386904168942667
0.1,100,0.3,0.02,0.01736735988973597
0.1,50,0.4,0.02,0.01735744621341582
0.1,10,0.4,0.02,0.017334433176685465
0.1,5,0.3,0.02,0.017322215815394712
0.1,25,0.4,0.02,0.017321473036718167
0.1,50,0.3,0.02,0.01730553818525814
0.1,10,0.3,0.02,0.017273134682851955
0.1,25,0.3,0.02,0.017263925633683137
0.1,5,0.6,0.02,0.017234782661962062
0.1,100,0.6,0.02,0.01721620523359123
0.1,10,0.6,0.02,0.017178156342390876
0.1,50,0.6,0.02,0.01717303060011556
0.1,25,0.6,0.02,0.01715264814293258
0.1,5,0.8,0.1,0.017085335062735088
0.1,10,0.8,0.1,0.017046913670908437
0.1,100,0.8,0.1,0.01703975648801913
0.1,100,0.7,0.05,0.017024614550180162
0.1,50,0.8,0.1,0.017021943883426146
0.1,25,0.8,0.1,0.017019881912995995
0.1,5,0.7,0.05,0.017007531031270055
0.1,50,0.7,0.05,0.016981619490392633
0.1,10,0.7,0.05,0.016969131250475188
0.1,25,0.7,0.05,0.016959324902887842
0.1,100,0.7,0.02,0.016621011694906304
