model_id,method,cluster,tissue
ach-001619,HC_avg_k24,6,bile_duct
ach-000184,HC_avg_k24,15,fibroblast
ach-000329,HC_avg_k24,15,central_nervous_system
ach-001569,HC_avg_k24,14,skin
ach-002544,HC_avg_k24,20,gastric
ach-002675,HC_avg_k24,13,blood
ach-000814,HC_avg_k24,14,skin
ach-002499,HC_avg_k24,7,breast
ach-001493,HC_avg_k24,13,lymphocyte
ach-001701,HC_avg_k24,9,upper_aerodigestive
ach-000197,HC_avg_k24,13,blood
ach-000545,HC_avg_k24,9,urinary_tract
ach-000949,HC_avg_k24,9,gastric
ach-000124,HC_avg_k24,13,lymphocyte
ach-000560,HC_avg_k24,21,gastric
ach-000897,HC_avg_k24,15,thyroid
ach-001626,HC_avg_k24,9,upper_aerodigestive
ach-000619,HC_avg_k24,9,upper_aerodigestive
ach-001973,HC_avg_k24,14,skin
ach-001340,HC_avg_k24,8,ovary
ach-000546,HC_avg_k24,9,upper_aerodigestive
ach-001709,HC_avg_k24,13,lymphocyte
ach-002018,HC_avg_k24,14,eye
ach-000153,HC_avg_k24,15,lung
ach-000526,HC_avg_k24,15,fibroblast
ach-000116,HC_avg_k24,8,ovary
ach-000815,HC_avg_k24,13,lymphocyte
ach-001270,HC_avg_k24,19,soft_tissue
ach-002523,HC_avg_k24,19,liver
ach-000324,HC_avg_k24,3,ovary
ach-001949,HC_avg_k24,14,skin
ach-001561,HC_avg_k24,15,lung
ach-000842,HC_avg_k24,9,colorectal
ach-000898,HC_avg_k24,9,gastric
ach-000517,HC_avg_k24,6,pancreas
ach-001980,HC_avg_k24,14,skin
ach-001415,HC_avg_k24,9,urinary_tract
ach-000681,HC_avg_k24,5,lung
ach-001310,HC_avg_k24,3,kidney
ach-000070,HC_avg_k24,13,blood
ach-000484,HC_avg_k24,3,kidney
ach-003426,HC_avg_k24,15,gastric
ach-000108,HC_avg_k24,6,pancreas
ach-000808,HC_avg_k24,15,bile_duct
ach-000656,HC_avg_k24,13,lymphocyte
ach-000166,HC_avg_k24,13,blood
ach-000997,HC_avg_k24,9,colorectal
ach-000866,HC_avg_k24,21,lung
ach-000819,HC_avg_k24,15,central_nervous_system
ach-000226,HC_avg_k24,13,lymphocyte
ach-000087,HC_avg_k24,21,bone
ach-000340,HC_avg_k24,15,fibroblast
ach-002005,HC_avg_k24,14,skin
ach-001680,HC_avg_k24,13,lymphocyte
ach-000758,HC_avg_k24,9,gastric
ach-000196,HC_avg_k24,7,breast
ach-003141,HC_avg_k24,15,muscle
ach-000258,HC_avg_k24,21,breast
ach-000163,HC_avg_k24,15,thyroid
ach-000076,HC_avg_k24,13,blood
