gsm,model_id,cvcl_id,deprecation_status,resolution_method
gsm1374515,,cvcl_6832,,no_depmap_equivalent
gsm1374525,,cvcl_0045,,no_depmap_equivalent
gsm1374529,,cvcl_1906,,no_depmap_equivalent
gsm1374530,,cvcl_1906,,no_depmap_equivalent
gsm1374539,,cvcl_h207,,no_depmap_equivalent
gsm1374540,,cvcl_8128,,no_depmap_equivalent
gsm1374541,,cvcl_8128,,no_depmap_equivalent
gsm1374548,,cvcl_2508,,no_depmap_equivalent
gsm1374561,,cvcl_a8ez,,no_depmap_equivalent
gsm1374562,,cvcl_a8ez,,no_depmap_equivalent
gsm1374563,,cvcl_a8ez,,no_depmap_equivalent
gsm1374564,,cvcl_a8ez,,no_depmap_equivalent
gsm1374570,,cvcl_y053,,no_depmap_equivalent
gsm1374574,,cvcl_2962,,no_depmap_equivalent
gsm1374591,,cvcl_0612,,no_depmap_equivalent
gsm1374595,,cvcl_0372,,no_depmap_equivalent
gsm1374596,,cvcl_0372,,no_depmap_equivalent
gsm1374597,,cvcl_ud72,,no_depmap_equivalent
gsm1374598,,cvcl_1824,,no_depmap_equivalent
gsm1374599,,cvcl_5443,,no_depmap_equivalent
gsm1374600,,cvcl_8253,,no_depmap_equivalent
gsm1374604,,cvcl_5310,,no_depmap_equivalent
gsm1374616,,cvcl_4744,,no_depmap_equivalent
gsm1374619,,cvcl_w132,,no_depmap_equivalent
gsm1374622,,cvcl_0395,,no_depmap_equivalent
gsm1374623,,cvcl_4791,,no_depmap_equivalent
gsm1374626,,cvcl_0395,,no_depmap_equivalent
gsm1374632,,cvcl_1384,,no_depmap_equivalent
gsm1374633,,cvcl_1384,,no_depmap_equivalent
gsm1374666,,cvcl_l911,,no_depmap_equivalent
gsm1374667,,cvcl_vr92,,no_depmap_equivalent
gsm1374671,,cvcl_5334,,no_depmap_equivalent
gsm1374672,,cvcl_9827,,no_depmap_equivalent
gsm1374673,,cvcl_9827,,no_depmap_equivalent
gsm1374674,,cvcl_4971,,no_depmap_equivalent
gsm1374675,,cvcl_4972,,no_depmap_equivalent
gsm1374676,,cvcl_4973,,no_depmap_equivalent
gsm1374684,,cvcl_8794,,no_depmap_equivalent
gsm1374755,,cvcl_1570,,no_depmap_equivalent
gsm1374783,,cvcl_1879,,no_depmap_equivalent
gsm1374788,,cvcl_8801,,no_depmap_equivalent
gsm1374790,,cvcl_8803,,no_depmap_equivalent
gsm1374793,,cvcl_e338,,no_depmap_equivalent
gsm1374798,,cvcl_3085,,no_depmap_equivalent
gsm1374804,,cvcl_t887,,no_depmap_equivalent
gsm1374805,,cvcl_h271,,no_depmap_equivalent
gsm1374819,,cvcl_4883,,no_depmap_equivalent
gsm1374820,,cvcl_ip22,,no_depmap_equivalent
gsm1374824,,cvcl_v337,,no_depmap_equivalent
gsm1374825,,cvcl_b262,,no_depmap_equivalent
gsm1374834,,cvcl_jm48,,no_depmap_equivalent
gsm1374835,,cvcl_2163,,no_depmap_equivalent
gsm1374838,,cvcl_6859,,no_depmap_equivalent
gsm1374839,,cvcl_6715,,no_depmap_equivalent
gsm1374860,,cvcl_3791,,no_depmap_equivalent
gsm1374861,,cvcl_6f19,,no_depmap_equivalent
gsm1374869,,cvcl_0520,,no_depmap_equivalent
gsm1374884,,cvcl_0534,,no_depmap_equivalent
gsm1374888,,cvcl_3947,,no_depmap_equivalent
gsm1374889,,cvcl_3948,,no_depmap_equivalent
gsm1374892,,cvcl_0100,,no_depmap_equivalent
gsm1374898,,cvcl_5088,,no_depmap_equivalent
gsm1374905,,cvcl_9550,,no_depmap_equivalent
gsm1374918,,cvcl_3886,,no_depmap_equivalent
gsm1374959,,cvcl_9971,,no_depmap_equivalent
gsm1374960,,cvcl_f785,,no_depmap_equivalent
gsm1374963,,cvcl_a442,,no_depmap_equivalent
gsm1374967,,cvcl_3175,,no_depmap_equivalent
gsm1374971,,cvcl_1896,,no_depmap_equivalent
gsm1374972,,cvcl_1897,,no_depmap_equivalent
gsm1374976,,cvcl_0104,,no_depmap_equivalent
gsm1374977,,cvcl_1854,,no_depmap_equivalent
gsm1374980,,cvcl_5393,,no_depmap_equivalent
gsm1374981,,cvcl_5405,,no_depmap_equivalent
gsm1374982,,cvcl_5406,,no_depmap_equivalent
gsm1374983,,cvcl_5407,,no_depmap_equivalent
gsm1374987,,cvcl_2760,,no_depmap_equivalent
gsm1374988,,cvcl_2760,,no_depmap_equivalent
gsm1374989,,cvcl_1900,,no_depmap_equivalent
gsm1374990,,cvcl_1901,,no_depmap_equivalent
gsm162905,,cvcl_2603,,no_depmap_equivalent
gsm162928,,cvcl_rg53,,no_depmap_equivalent
gsm162930,,cvcl_b3mz,,no_depmap_equivalent
gsm162934,,cvcl_9975,,no_depmap_equivalent
gsm162935,,cvcl_c836,,no_depmap_equivalent
gsm162936,,cvcl_4449,,no_depmap_equivalent
gsm162937,,cvcl_4451,,no_depmap_equivalent
gsm162938,,cvcl_h604,,no_depmap_equivalent
gsm162939,,cvcl_h607,,no_depmap_equivalent
gsm162941,,cvcl_c835,,no_depmap_equivalent
gsm162942,,cvcl_a777,,no_depmap_equivalent
gsm162943,,cvcl_a776,,no_depmap_equivalent
gsm169525,,cvcl_w872,,no_depmap_equivalent
gsm169527,,cvcl_w869,,no_depmap_equivalent
gsm169528,,cvcl_h943,,no_depmap_equivalent
gsm169529,,cvcl_h944,,no_depmap_equivalent
gsm169530,,cvcl_h946,,no_depmap_equivalent
gsm169531,,cvcl_h945,,no_depmap_equivalent
gsm170588,,cvcl_dh69,,no_depmap_equivalent
gsm170589,,cvcl_dh70,,no_depmap_equivalent
gsm170590,,cvcl_dg37,,no_depmap_equivalent
gsm170591,,cvcl_dh73,,no_depmap_equivalent
gsm170593,,cvcl_dh75,,no_depmap_equivalent
gsm170594,,cvcl_dh76,,no_depmap_equivalent
gsm170595,,cvcl_w875,,no_depmap_equivalent
gsm170596,,cvcl_4452,,no_depmap_equivalent
gsm170597,,cvcl_2612,,no_depmap_equivalent
gsm170823,,cvcl_u802,,no_depmap_equivalent
gsm170833,,cvcl_dh61,,no_depmap_equivalent
gsm170835,,cvcl_4450,,no_depmap_equivalent
gsm170841,,cvcl_c838,,no_depmap_equivalent
gsm170844,,cvcl_s857,,no_depmap_equivalent
gsm170850,,cvcl_2611,,no_depmap_equivalent
gsm170853,,cvcl_dh62,,no_depmap_equivalent
gsm170855,,cvcl_h608,,no_depmap_equivalent
gsm170857,,cvcl_4453,,no_depmap_equivalent
gsm170858,,cvcl_c850,,no_depmap_equivalent
gsm170862,,cvcl_uu65,,no_depmap_equivalent
gsm170866,,cvcl_c837,,no_depmap_equivalent
gsm170867,,cvcl_c847,,no_depmap_equivalent
gsm170978,,cvcl_c848,,no_depmap_equivalent
gsm170979,,cvcl_d853,,no_depmap_equivalent
gsm170980,,cvcl_6022,,no_depmap_equivalent
gsm170983,,cvcl_j514,,no_depmap_equivalent
gsm170992,,cvcl_s856,,no_depmap_equivalent
gsm171597,,cvcl_dh72,,no_depmap_equivalent
gsm171895,,cvcl_x491,,no_depmap_equivalent
gsm198765,,cvcl_vm37,,no_depmap_equivalent
gsm198766,,cvcl_yi85,,no_depmap_equivalent
gsm206438,,cvcl_8054,,no_depmap_equivalent
gsm206439,,cvcl_4632,,no_depmap_equivalent
gsm206441,,cvcl_c694,,no_depmap_equivalent
gsm206448,,cvcl_s959,,no_depmap_equivalent
gsm206460,,cvcl_1988,,no_depmap_equivalent
gsm206461,,cvcl_0219,,no_depmap_equivalent
gsm206521,,cvcl_d085,,no_depmap_equivalent
gsm206523,,cvcl_0417,,no_depmap_equivalent
gsm206542,,cvcl_6027,,no_depmap_equivalent
gsm248213,,cvcl_3653,,no_depmap_equivalent
gsm248214,,cvcl_3653,,no_depmap_equivalent
gsm274648,,cvcl_0417,,no_depmap_equivalent
gsm274649,,cvcl_0417,,no_depmap_equivalent
gsm274667,,cvcl_3154,,no_depmap_equivalent
gsm274682,,cvcl_za06,,no_depmap_equivalent
gsm274691,,cvcl_4632,,no_depmap_equivalent
gsm274692,,cvcl_8054,,no_depmap_equivalent
gsm274693,,cvcl_c694,,no_depmap_equivalent
gsm274694,,cvcl_8052,,no_depmap_equivalent
gsm274761,,cvcl_2011,,no_depmap_equivalent
gsm274762,,cvcl_2011,,no_depmap_equivalent
gsm274767,,cvcl_3786,,no_depmap_equivalent
gsm274768,,cvcl_3786,,no_depmap_equivalent
gsm274776,,cvcl_1988,,no_depmap_equivalent
gsm274777,,cvcl_0219,,no_depmap_equivalent
gsm274791,,cvcl_d085,,no_depmap_equivalent
gsm274801,,cvcl_h642,,no_depmap_equivalent
gsm274802,,cvcl_h642,,no_depmap_equivalent
gsm274825,,cvcl_d085,,no_depmap_equivalent
gsm274834,,cvcl_s959,,no_depmap_equivalent
gsm275988,,cvcl_0417,,no_depmap_equivalent
gsm275989,,cvcl_0417,,no_depmap_equivalent
gsm275999,,cvcl_m516,,no_depmap_equivalent
gsm320591,,cvcl_5310,,no_depmap_equivalent
gsm357888,,cvcl_3968,,no_depmap_equivalent
gsm357889,,cvcl_3968,,no_depmap_equivalent
gsm357890,,cvcl_3968,,no_depmap_equivalent
gsm357891,,cvcl_3968,,no_depmap_equivalent
gsm357892,,cvcl_3968,,no_depmap_equivalent
gsm357910,,cvcl_0565,,no_depmap_equivalent
gsm357911,,cvcl_0565,,no_depmap_equivalent
gsm357912,,cvcl_0565,,no_depmap_equivalent
gsm357913,,cvcl_0565,,no_depmap_equivalent
gsm357914,,cvcl_0565,,no_depmap_equivalent
gsm357915,,cvcl_0565,,no_depmap_equivalent
gsm357928,,cvcl_r777,,no_depmap_equivalent
gsm357929,,cvcl_r777,,no_depmap_equivalent
gsm357930,,cvcl_r777,,no_depmap_equivalent
gsm357931,,cvcl_r777,,no_depmap_equivalent
gsm357932,,cvcl_r777,,no_depmap_equivalent
gsm357933,,cvcl_r777,,no_depmap_equivalent
gsm385013,,cvcl_5711,,no_depmap_equivalent
gsm385064,,cvcl_e941,,no_depmap_equivalent
gsm385065,,cvcl_e941,,no_depmap_equivalent
gsm385070,,cvcl_1903,,no_depmap_equivalent
gsm385071,,cvcl_1903,,no_depmap_equivalent
gsm579886,,cvcl_3653,,no_depmap_equivalent
gsm579887,,cvcl_3653,,no_depmap_equivalent
gsm587156,,cvcl_n744,,no_depmap_equivalent
gsm587159,,cvcl_n749,,no_depmap_equivalent
gsm587162,,cvcl_n743,,no_depmap_equivalent
gsm587163,,cvcl_n735,,no_depmap_equivalent
gsm587164,,cvcl_n742,,no_depmap_equivalent
gsm587165,,cvcl_n731,,no_depmap_equivalent
gsm587166,,cvcl_n740,,no_depmap_equivalent
gsm587167,,cvcl_n747,,no_depmap_equivalent
gsm587170,,cvcl_n746,,no_depmap_equivalent
gsm587171,,cvcl_n741,,no_depmap_equivalent
gsm587172,,cvcl_n750,,no_depmap_equivalent
gsm587173,,cvcl_n727,,no_depmap_equivalent
gsm587175,,cvcl_n723,,no_depmap_equivalent
gsm587176,,cvcl_0v15,,no_depmap_equivalent
gsm587177,,cvcl_n729,,no_depmap_equivalent
gsm587178,,cvcl_n733,,no_depmap_equivalent
gsm587182,,cvcl_n739,,no_depmap_equivalent
gsm587183,,cvcl_n748,,no_depmap_equivalent
gsm587186,,cvcl_n736,,no_depmap_equivalent
gsm587188,,cvcl_d278,,no_depmap_equivalent
gsm587189,,cvcl_y284,,no_depmap_equivalent
gsm587191,,cvcl_vm37,,no_depmap_equivalent
gsm587192,,cvcl_vm37,,no_depmap_equivalent
gsm587193,,cvcl_yi85,,no_depmap_equivalent
gsm587194,,cvcl_yi85,,no_depmap_equivalent
gsm686033,,cvcl_7668,,no_depmap_equivalent
gsm686034,,cvcl_7668,,no_depmap_equivalent
gsm711705,,cvcl_3769,,no_depmap_equivalent
gsm748815,,cvcl_c8zl,,no_depmap_equivalent
gsm748816,,cvcl_c8zl,,no_depmap_equivalent
gsm748817,,cvcl_c8zl,,no_depmap_equivalent
gsm748818,,cvcl_c8zl,,no_depmap_equivalent
gsm748819,,cvcl_c8zl,,no_depmap_equivalent
gsm748820,,cvcl_c8zl,,no_depmap_equivalent
gsm748821,,cvcl_c8zl,,no_depmap_equivalent
gsm748822,,cvcl_c8zl,,no_depmap_equivalent
gsm748823,,cvcl_c8zl,,no_depmap_equivalent
gsm748824,,cvcl_c8zl,,no_depmap_equivalent
gsm748825,,cvcl_c8zl,,no_depmap_equivalent
gsm748826,,cvcl_c8zl,,no_depmap_equivalent
gsm748827,,cvcl_c8zl,,no_depmap_equivalent
gsm748828,,cvcl_c8zl,,no_depmap_equivalent
gsm748829,,cvcl_c8zl,,no_depmap_equivalent
gsm748845,,cvcl_0561,,no_depmap_equivalent
gsm748846,,cvcl_0561,,no_depmap_equivalent
gsm748847,,cvcl_0561,,no_depmap_equivalent
gsm748848,,cvcl_0561,,no_depmap_equivalent
gsm748849,,cvcl_0561,,no_depmap_equivalent
gsm748850,,cvcl_0561,,no_depmap_equivalent
gsm748851,,cvcl_0561,,no_depmap_equivalent
gsm748852,,cvcl_0561,,no_depmap_equivalent
gsm748853,,cvcl_0561,,no_depmap_equivalent
gsm748854,,cvcl_0561,,no_depmap_equivalent
gsm748855,,cvcl_0561,,no_depmap_equivalent
gsm748856,,cvcl_0561,,no_depmap_equivalent
gsm748857,,cvcl_0561,,no_depmap_equivalent
gsm748858,,cvcl_0561,,no_depmap_equivalent
gsm748859,,cvcl_0561,,no_depmap_equivalent
gsm843490,,cvcl_f402,,no_depmap_equivalent
gsm843495,,cvcl_7260,,no_depmap_equivalent
gsm843496,,cvcl_7260,,no_depmap_equivalent
gsm843505,,cvcl_7668,,no_depmap_equivalent
gsm844559,,cvcl_eq26,,no_depmap_equivalent
gsm844560,,cvcl_eq27,,no_depmap_equivalent
gsm844561,,cvcl_eq27,,no_depmap_equivalent
gsm844562,,cvcl_eq25,,no_depmap_equivalent
gsm844572,,cvcl_2962,,no_depmap_equivalent
gsm844579,,cvcl_0395,,no_depmap_equivalent
gsm844589,,cvcl_0417,,no_depmap_equivalent
gsm844590,,cvcl_0417,,no_depmap_equivalent
gsm844610,,cvcl_m516,,no_depmap_equivalent
gsm844614,,cvcl_1452,,no_depmap_equivalent
gsm844615,,cvcl_1452,,no_depmap_equivalent
gsm844637,,cvcl_1527,,no_depmap_equivalent
gsm844646,,cvcl_a537,,no_depmap_equivalent
gsm844663,,cvcl_1602,,no_depmap_equivalent
gsm844664,,cvcl_a590,,no_depmap_equivalent
gsm844685,,cvcl_0520,,no_depmap_equivalent
gsm844693,,cvcl_2250,,no_depmap_equivalent
gsm844694,,cvcl_2250,,no_depmap_equivalent
gsm881257,,cvcl_l892,,no_depmap_equivalent
gsm881258,,cvcl_l892,,no_depmap_equivalent
gsm881259,,cvcl_7773,,no_depmap_equivalent
gsm881260,,cvcl_7773,,no_depmap_equivalent
gsm881264,,cvcl_l890,,no_depmap_equivalent
gsm881265,,cvcl_l890,,no_depmap_equivalent
gsm881266,,cvcl_l891,,no_depmap_equivalent
gsm881267,,cvcl_l891,,no_depmap_equivalent
gsm881273,,cvcl_8128,,no_depmap_equivalent
gsm881274,,cvcl_8128,,no_depmap_equivalent
gsm881299,,cvcl_7144,,no_depmap_equivalent
gsm881300,,cvcl_7144,,no_depmap_equivalent
gsm960278,,cvcl_0038,,no_depmap_equivalent
gsm960279,,cvcl_0038,,no_depmap_equivalent
gsm960280,,cvcl_0038,,no_depmap_equivalent
gsm960286,,cvcl_0038,,no_depmap_equivalent
gsm960287,,cvcl_0038,,no_depmap_equivalent
gsm960288,,cvcl_0038,,no_depmap_equivalent
gsm960294,,cvcl_0038,,no_depmap_equivalent
gsm960295,,cvcl_0038,,no_depmap_equivalent
gsm960296,,cvcl_0038,,no_depmap_equivalent
