merge_key_value,collapse_on_value,reason
ach-000380,wes,duplicate modelid+datatype pair in aux table
ach-000304,wes,duplicate modelid+datatype pair in aux table
ach-001274,wes,duplicate modelid+datatype pair in aux table
ach-001368,wes,duplicate modelid+datatype pair in aux table
ach-000879,wes,duplicate modelid+datatype pair in aux table
ach-000562,wes,duplicate modelid+datatype pair in aux table
ach-000879,wes,duplicate modelid+datatype pair in aux table
ach-000672,wes,duplicate modelid+datatype pair in aux table
ach-000562,wes,duplicate modelid+datatype pair in aux table
ach-000740,wes,duplicate modelid+datatype pair in aux table
ach-000096,wes,duplicate modelid+datatype pair in aux table
ach-000636,wes,duplicate modelid+datatype pair in aux table
ach-000228,wes,duplicate modelid+datatype pair in aux table
ach-000020,wes,duplicate modelid+datatype pair in aux table
ach-000151,wes,duplicate modelid+datatype pair in aux table
ach-000920,wes,duplicate modelid+datatype pair in aux table
ach-001192,rna,duplicate modelid+datatype pair in aux table
ach-000217,wes,duplicate modelid+datatype pair in aux table
ach-001374,wes,duplicate modelid+datatype pair in aux table
ach-000124,wes,duplicate modelid+datatype pair in aux table
ach-000714,wes,duplicate modelid+datatype pair in aux table
ach-000956,wes,duplicate modelid+datatype pair in aux table
ach-000823,wes,duplicate modelid+datatype pair in aux table
ach-000551,wes,duplicate modelid+datatype pair in aux table
ach-000975,rna,duplicate modelid+datatype pair in aux table
ach-000706,wes,duplicate modelid+datatype pair in aux table
ach-000328,rna,duplicate modelid+datatype pair in aux table
ach-000217,wes,duplicate modelid+datatype pair in aux table
ach-001530,wes,duplicate modelid+datatype pair in aux table
ach-000375,wes,duplicate modelid+datatype pair in aux table
ach-001715,wes,duplicate modelid+datatype pair in aux table
ach-000198,wes,duplicate modelid+datatype pair in aux table
ach-000019,wes,duplicate modelid+datatype pair in aux table
ach-000178,wes,duplicate modelid+datatype pair in aux table
ach-000956,wes,duplicate modelid+datatype pair in aux table
ach-000145,wgs,duplicate modelid+datatype pair in aux table
ach-001617,wes,duplicate modelid+datatype pair in aux table
ach-000805,wes,duplicate modelid+datatype pair in aux table
ach-000201,wes,duplicate modelid+datatype pair in aux table
ach-000838,wes,duplicate modelid+datatype pair in aux table
ach-000944,wes,duplicate modelid+datatype pair in aux table
ach-000532,rna,duplicate modelid+datatype pair in aux table
ach-000499,wes,duplicate modelid+datatype pair in aux table
ach-001715,wes,duplicate modelid+datatype pair in aux table
ach-000221,wes,duplicate modelid+datatype pair in aux table
ach-000374,wes,duplicate modelid+datatype pair in aux table
ach-000914,wes,duplicate modelid+datatype pair in aux table
ach-000452,wes,duplicate modelid+datatype pair in aux table
ach-000414,wes,duplicate modelid+datatype pair in aux table
ach-000291,wes,duplicate modelid+datatype pair in aux table
ach-000232,wes,duplicate modelid+datatype pair in aux table
ach-000532,wes,duplicate modelid+datatype pair in aux table
ach-000235,wes,duplicate modelid+datatype pair in aux table
ach-000561,wes,duplicate modelid+datatype pair in aux table
ach-000132,wes,duplicate modelid+datatype pair in aux table
ach-000677,wes,duplicate modelid+datatype pair in aux table
ach-000700,rna,duplicate modelid+datatype pair in aux table
ach-000983,wes,duplicate modelid+datatype pair in aux table
ach-001345,wes,duplicate modelid+datatype pair in aux table
ach-001861,wes,duplicate modelid+datatype pair in aux table
ach-001525,wes,duplicate modelid+datatype pair in aux table
ach-000099,wes,duplicate modelid+datatype pair in aux table
ach-000200,wes,duplicate modelid+datatype pair in aux table
ach-000977,wes,duplicate modelid+datatype pair in aux table
ach-001192,rna,duplicate modelid+datatype pair in aux table
ach-001711,wes,duplicate modelid+datatype pair in aux table
ach-001630,wes,duplicate modelid+datatype pair in aux table
ach-001373,wes,duplicate modelid+datatype pair in aux table
ach-001401,wes,duplicate modelid+datatype pair in aux table
ach-001702,wes,duplicate modelid+datatype pair in aux table
ach-000380,wes,duplicate modelid+datatype pair in aux table
ach-001075,wes,duplicate modelid+datatype pair in aux table
ach-000876,wes,duplicate modelid+datatype pair in aux table
ach-001399,wes,duplicate modelid+datatype pair in aux table
ach-000757,wes,duplicate modelid+datatype pair in aux table
ach-000527,wes,duplicate modelid+datatype pair in aux table
ach-000830,wes,duplicate modelid+datatype pair in aux table
ach-001328,wes,duplicate modelid+datatype pair in aux table
ach-000129,wes,duplicate modelid+datatype pair in aux table
ach-000218,wes,duplicate modelid+datatype pair in aux table
ach-000042,wes,duplicate modelid+datatype pair in aux table
ach-000913,wes,duplicate modelid+datatype pair in aux table
ach-001543,wes,duplicate modelid+datatype pair in aux table
ach-000597,rna,duplicate modelid+datatype pair in aux table
ach-000823,wes,duplicate modelid+datatype pair in aux table
ach-001549,wes,duplicate modelid+datatype pair in aux table
ach-001500,wes,duplicate modelid+datatype pair in aux table
ach-000584,wes,duplicate modelid+datatype pair in aux table
ach-000112,wes,duplicate modelid+datatype pair in aux table
ach-000763,wes,duplicate modelid+datatype pair in aux table
ach-001106,wes,duplicate modelid+datatype pair in aux table
ach-000129,wes,duplicate modelid+datatype pair in aux table
ach-002059,wes,duplicate modelid+datatype pair in aux table
ach-000913,wes,duplicate modelid+datatype pair in aux table
ach-001333,wes,duplicate modelid+datatype pair in aux table
ach-001529,wes,duplicate modelid+datatype pair in aux table
ach-001400,wes,duplicate modelid+datatype pair in aux table
ach-000814,wes,duplicate modelid+datatype pair in aux table
ach-000655,wes,duplicate modelid+datatype pair in aux table
ach-001443,wes,duplicate modelid+datatype pair in aux table
ach-000763,wes,duplicate modelid+datatype pair in aux table
ach-000206,rna,duplicate modelid+datatype pair in aux table
ach-000647,wes,duplicate modelid+datatype pair in aux table
ach-000294,wes,duplicate modelid+datatype pair in aux table
ach-000937,wes,duplicate modelid+datatype pair in aux table
ach-000827,wes,duplicate modelid+datatype pair in aux table
ach-001402,wes,duplicate modelid+datatype pair in aux table
ach-000767,wes,duplicate modelid+datatype pair in aux table
ach-000929,wes,duplicate modelid+datatype pair in aux table
ach-000475,wes,duplicate modelid+datatype pair in aux table
ach-001496,wes,duplicate modelid+datatype pair in aux table
ach-001418,wes,duplicate modelid+datatype pair in aux table
ach-000204,wes,duplicate modelid+datatype pair in aux table
ach-000656,wes,duplicate modelid+datatype pair in aux table
ach-000434,wes,duplicate modelid+datatype pair in aux table
ach-000365,wes,duplicate modelid+datatype pair in aux table
ach-000430,wes,duplicate modelid+datatype pair in aux table
ach-000365,wes,duplicate modelid+datatype pair in aux table
