HGNC ID,Approved symbol,Approved name,Locus group,locus_type,Status,Location,location_sortable,Alias symbols,alias_name,Previous symbols,prev_name,gene_group,gene_group_id,date_approved_reserved,date_symbol_changed,date_name_changed,date_modified,entrez_id,Ensembl gene ID,vega_id,ucsc_id,ena,refseq_accession,ccds_id,uniprot_ids,pubmed_id,mgd_id,rgd_id,lsdb,cosmic,omim_id,mirbase,homeodb,snornabase,bioparadigms_slc,orphanet,pseudogene.org,horde_id,merops,imgt,iuphar,kznf_gene_catalog,mamit-trnadb,cd,lncrnadb,enzyme_id,intermediate_filament_db,rna_central_id,lncipedia,gtrnadb,agr,mane_select,gencc
HGNC:19400,PGBD3,piggyBac transposable element derived 3,protein-coding gene,gene with protein product,Approved,10q11,,FLJ90201,,,,PiggyBac transposable element derived family,3470,2002-10-23,,,2023-03-15,267004,,OTTHUMG00000018193,uc057tet.1,AK074682,NM_170753,,Q8N328,,,,,,,,,,,,,,,,,,,,,,,,,,HGNC:19400,,
HGNC:942,BAGE,B melanoma antigen,protein-coding gene,gene with protein product,Approved,21p11.1 not on reference assembly,,CT2.1|BAGE1,"cancer/testis antigen family 2, member 1",,,BAGE family,1848,1995-03-30,,,2017-11-23,574,,,,U19180,NM_001187,,Q13072,7895173,,,,,605167,,,,,,,,,,,,,,,,,,,,,,
HGNC:15728,BAGE3,BAGE family member 3,protein-coding gene,gene with protein product,Approved,21p11.2 not on reference assembly,,CT2.3,"cancer/testis antigen family 2, member 3",,"B melanoma antigen family, member 3",BAGE family,1848,2001-06-01,,2017-02-24,2017-02-24,85318,,,,AF339514,NM_182481,,Q86Y29,12461691,,,,,617777,,,,,,,,,,,,,,,,,,,,,,
HGNC:15730,BAGE4,BAGE family member 4,protein-coding gene,gene with protein product,Approved,21p11.1 not on reference assembly,,CT2.4,"cancer/testis antigen family 2, member 4",MLL3P,"MLL3 pseudogene|B melanoma antigen family, member 4",BAGE family,1848,2001-06-01,,2017-02-24,2017-02-24,85317,,,,AF339515,NM_181704,,Q86Y28,12676563,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGNC:14024,PRY,PTPN13 like Y-linked,protein-coding gene,gene with protein product,Approved,Yq11.223,,PTPN13LY|PRY1,,,"PTPN13-like, Y-linked",Proteins encoded by multiple genes,2293,2001-09-21,,2018-04-30,2023-01-20,9081,ENSG00000169789,OTTHUMG00000043845,uc004fvh.1,AF000988,NM_004676,CCDS14799,O14603,9381176,,,,,400019,,,,,,,,,,,,,,,,,,,,HGNC:14024,,
HGNC:21504,PRY2,PTPN13 like Y-linked 2,protein-coding gene,gene with protein product,Approved,Yq11.223,,PTPN13LY2,,,"PTPN13-like, Y-linked 2",Proteins encoded by multiple genes,2293,2004-08-25,,2018-04-30,2023-01-20,442862,ENSG00000169807,OTTHUMG00000043586,uc004fuy.1,,NM_001002758,CCDS35482,O14603,15177557,,,,,400041,,,,,,,,,,,,,,,,,,,,HGNC:21504,,
HGNC:9914,RBMY1C,RNA binding motif protein Y-linked family 1 member C,protein-coding gene,gene with protein product,Approved,Yq11.23 not on reference assembly,,,,,"RNA binding motif protein, Y chromosome, family 1, member C|RNA binding motif protein, Y-linked, family 1, member C",RNA binding motif containing,725,1998-06-04,,2019-07-30,2019-07-30,5942,,,,,,,P0DJD4,9598316,MGI:104732|MGI:3708825|MGI:3710530|MGI:3781554|MGI:3782239|MGI:5435032|MGI:5435048|MGI:5435059|MGI:5435063,,,,,,,,,,,,,,,,,,,,,,,,,,
HGNC:56851,SCPPPQ1,secretory calcium-binding phosphoprotein proline-glutamine rich 1,protein-coding gene,gene with protein product,Approved,4q22.1,,,,,,,,2023-06-16,,,2023-06-16,105377321,,,,,NM_001405228,,A0A411D538,19255778|25193156,MGI:4937294,RGD:2323137,,,621324,,,,,,,,,,,,,,,,,,,,,ENST00000715253.1|NM_001405228.1,
HGNC:38749,SDIM1,stress responsive DNAJB4 interacting membrane protein 1,protein-coding gene,gene with protein product,Approved,6q27,,,,,,,,2011-01-31,,,2018-11-22,100505705,,,,AK129633,,,Q6ZPB5,21255413,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGNC:28776,SMIM2,small integral membrane protein 2,protein-coding gene,gene with protein product,Approved,13q14.11,,MGC5590,,C13orf44,chromosome 13 open reading frame 44,,,2011-08-15,2012-07-11,2012-07-11,2023-01-20,79024,ENSG00000139656,OTTHUMG00000016831,uc001uzh.3,BC000868,NR_197392,CCDS61320,Q9BVW6,12477932,,,,,,,,,,,,,,,,,,,,,,,,,HGNC:28776,,
HGNC:28693,C10orf126,chromosome 10 open reading frame 126,protein-coding gene,gene with protein product,Approved,10p12.1,,MGC45541|bA492M23.1,,,,,,2004-04-28,,,2023-03-15,283080,,OTTHUMG00000017878,uc031wat.2,BC033839,NM_001278522,,Q8N4M7,12477932,,,,,,,,,,,,,,,,,,,,,,,,,HGNC:28693,,
HGNC:19114,TAS2R33,taste 2 receptor member 33,protein-coding gene,gene with protein product,Approved,12 not on reference assembly,,T2R33,,,"taste receptor, type 2, member 33",Taste 2 receptors,1162,2002-09-26,,2015-12-16,2019-06-28,266665,,,,AX097751,,,P0DSN6,,MGI:2681256,,,,,,,,,,,,,,,,,,,,,,,,,,
HGNC:19115,TAS2R36,taste 2 receptor member 36,protein-coding gene,gene with protein product,Approved,12 not on reference assembly,,T2R36,,,"taste receptor, type 2, member 36",Taste 2 receptors,1162,2002-09-26,,2015-12-16,2019-06-28,266666,,,,AX097755,,,P0DTE0,,MGI:2681256,,,,,,,,,,,,,,,,,,,,,,,,,,
HGNC:12027,TRA,T cell receptor alpha locus,protein-coding gene,gene with protein product,Approved,14q11.2,,,,TCRA|TRA@,"TCRA, TRA@",T cell receptor alpha locus at 14q11.2,371,1986-01-01,2013-03-05,2017-12-06,2017-12-06,6955,,,,,NG_001332,,P0DSE1|P0DTU3,3875152|3875483,MGI:4439838,,,,,,,,,330881.0,,,,,,,,,,,,,,,HGNC:12027,,
HGNC:12155,TRB,T cell receptor beta locus,protein-coding gene,gene with protein product,Approved,7q34,,,"T-cell antigen receptor, beta polypeptide, T-cell receptor, beta cluster",TCRB|TRB@,"TCRB, TRB@",T cell receptor beta locus at 7q34,372,1986-01-01,2013-03-05,2017-12-06,2017-12-06,6957,,,,U66059,NG_001333,,P0DSE2|P0DTU4,3983641,MGI:4439726|MGI:4835227,,,,,,,,,330810.0,,,,,,,,,,,,,,,HGNC:12155,,
HGNC:12252,TRD,T cell receptor delta locus,protein-coding gene,gene with protein product,Approved,14q11.2,,TCRDV1,,TCRD|TRD@,"TCRD, TRD@",T cell receptor delta locus at 14q11.2,374,1988-07-04,2013-03-05,2017-12-06,2017-12-06,6964,,,,M21624,NG_001332,,,2456576|2439914,,,,,,,,,,330897.0,,,,,,,,,,,,,,,HGNC:12252,,
HGNC:12271,TRG,T cell receptor gamma locus,protein-coding gene,gene with protein product,Approved,7p14,,,"T-cell antigen receptor, gamma polypeptide|T-cell receptor, gamma cluster|T-cell rearranging gene, gamma",TCRG|TRG@,"TCRG, TRG@",T cell receptor gamma locus at 7p14,375,1986-01-01,2013-03-05,2017-12-06,2017-12-06,6965,,,,,NG_001336,,,2526744|3102973,,,,,,,,,,330902.0,,,,,,,,,,,,,,,HGNC:12271,,
HGNC:12529,UGT1A,UDP glucuronosyltransferase family 1 member A complex locus,protein-coding gene,gene with protein product,Approved,2q37,,UGT,,UGT1A@,"UDP glycosyltransferase 1 family, polypeptide A cluster|UDP glucuronosyltransferase 1 family, polypeptide A cluster|UDP glucuronosyltransferase 1 family, polypeptide A complex locus",UDP glucuronosyltransferases,363,1997-09-05,2010-03-05,2016-03-01,2016-03-01,7361,,,,,NG_002601,,,,,,,,,,,,,,,,,,,,,,,,,,,,HGNC:12529,,
HGNC:24462,CLECL1,C-type lectin like 1,protein-coding gene,gene with protein product,Approved,12p13.31,,DCAL1,dendritic cell associated lectin 1,CLECL1P,"C-type lectin like 1, pseudogene|C-type lectin-like 1",,,2007-06-21,2025-07-15,2025-07-15,2026-04-29,160365,ENSG00000184293,OTTHUMG00000168459,uc001qwj.4,AF518873,NM_001441810,,Q8IZS7,12421943,,,,,607467,,,,,,,,,,,,,,,,,,,,HGNC:24462,ENST00000973278.1|NM_001441815.1,
HGNC:37112,DDX11L13,DEAD/H-box helicase 11 like 13,protein-coding gene,gene with protein product,Approved,20p13 not on reference assembly,,,,,DEAD/H-box helicase 11 like 13|DEAD/H-box helicase 11 like 13 (pseudogene)|DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 like 13|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 like 13,,,2010-04-08,,2024-10-18,2024-10-18,138304584,,,,,,,,19476624,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGNC:3079,DUX1,double homeobox 1,protein-coding gene,gene with protein product,Approved,not on reference assembly,,,,,"double homeobox, 1",,,1999-12-01,,2010-07-20,2019-07-17,26584,,,,AJ001481,NM_012146,,O43812,9736770|11245978,,,,,611441,,,,,,,,,,,,,,,,,,,,,,
HGNC:3081,DUX3,double homeobox 3,protein-coding gene,gene with protein product,Approved,not on reference assembly,,,,,,,,1999-12-01,,2010-07-20,2019-07-17,26582,,,,AF133130,NM_012148,,Q96PT4,11245978,,,,,611443,,,,,,,,,,,,,,,,,,,,,,
HGNC:3083,DUX5,double homeobox 5,protein-coding gene,gene with protein product,Approved,not on reference assembly,,,,,,,,1999-12-01,,2010-07-20,2019-07-17,26581,,,,AF133131,NM_012149,,Q96PT3,11245978,,,,,611444,,,,,,,,,,,,,,,,,,,,,,
