HGNC ID	Approved symbol	Previous symbols	Alias symbols	Ensembl gene ID	Locus group
HGNC:9303	PPP2R1B		PR65B, PP2A-Abeta	ENSG00000137713	protein-coding gene
HGNC:9304	PPP2R2A		PR52A, PR55A, B55A, PR55alpha, B55alpha	ENSG00000221914	protein-coding gene
HGNC:9305	PPP2R2B	SCA12	PR55-BETA, PR52B, B55beta	ENSG00000156475	protein-coding gene
HGNC:58421	PPP2R2B-AS2		CTB-99A3.1	ENSG00000250407	non-coding RNA
HGNC:42984	PPP2R2B-IT1			ENSG00000249553	non-coding RNA
HGNC:9306	PPP2R2C		PR52, IMYPNO, MGC33570, PR55G, B55gamma	ENSG00000074211	protein-coding gene
HGNC:23732	PPP2R2D		MDS026, B55delta, B55D	ENSG00000175470	protein-coding gene
HGNC:44544	PPP2R2DP1			ENSG00000231668	pseudogene
HGNC:9307	PPP2R3A	PPP2R3	PR130, PR72	ENSG00000073711	protein-coding gene
HGNC:13417	PPP2R3B	PPP2R3L	PPP2R3LY, PR48, PR70	ENSG00000167393	protein-coding gene
HGNC:17485	PPP2R3C	C14orf10	FLJ20644, G4-1, G5PR	ENSG00000092020	protein-coding gene
HGNC:9309	PPP2R5A		PR61A, B56A, B56alpha	ENSG00000066027	protein-coding gene
HGNC:9310	PPP2R5B		FLJ35411, B56B, PR61B, B56beta	ENSG00000068971	protein-coding gene
HGNC:9311	PPP2R5C		B56G, PR61G, B56gamma	ENSG00000078304	protein-coding gene
HGNC:17835	PPP2R5CP			ENSG00000239557	pseudogene
HGNC:9312	PPP2R5D		B56D, B56delta	ENSG00000112640	protein-coding gene
HGNC:9313	PPP2R5E		B56E, B56epsilon	ENSG00000154001	protein-coding gene
HGNC:9314	PPP3CA	CALN, CALNA	CNA1, PPP2B	ENSG00000138814	protein-coding gene
HGNC:58118	PPP3CA-DT		FLJ20021, SRSP, FLJ	ENSG00000254531	non-coding RNA
HGNC:9315	PPP3CB	CALNB	CALNA2, CNA2, PP2Bbeta	ENSG00000107758	protein-coding gene
HGNC:50750	PPP3CB-AS1		USP54-AS1	ENSG00000221817	non-coding RNA
HGNC:9316	PPP3CC		CALNA3, PP2Bgamma	ENSG00000120910	protein-coding gene
HGNC:9317	PPP3R1		CALNB1, CNB, CNB1	ENSG00000221823	protein-coding gene
HGNC:58298	PPP3R1-AS1			ENSG00000289156	non-coding RNA
HGNC:9318	PPP3R2		PPP3RL	ENSG00000188386	protein-coding gene
HGNC:9319	PPP4C		PP4, PPX	ENSG00000149923	protein-coding gene
HGNC:9320	PPP4R1		PP4R1	ENSG00000154845	protein-coding gene
HGNC:51112	PPP4R1-AS1			ENSG00000263627	non-coding RNA
HGNC:15755	PPP4R1L	C20orf192	bA196N14.4, bA196N14.5, PPP4R1P1	ENSG00000124224	pseudogene
HGNC:18296	PPP4R2			ENSG00000163605	protein-coding gene
HGNC:56513	PPP4R2P1			ENSG00000250848	pseudogene
HGNC:56514	PPP4R2P2			ENSG00000231443	pseudogene
HGNC:56515	PPP4R2P3			ENSG00000231464	pseudogene
HGNC:56516	PPP4R2P4			ENSG00000249626	pseudogene
HGNC:56517	PPP4R2P5			ENSG00000232615	pseudogene
HGNC:56518	PPP4R2P6			ENSG00000271662	pseudogene
HGNC:20219	PPP4R3A	KIAA2010, SMEK1	FLJ20707, MSTP033, FLFL1, smk-1, smk1, PP4R3	ENSG00000100796	protein-coding gene
HGNC:29267	PPP4R3B	SMEK2	PSY2, FLFL2, KIAA1387, FLJ31474	ENSG00000275052	protein-coding gene
HGNC:55209	PPP4R3B-DT			ENSG00000272606	non-coding RNA
HGNC:33146	PPP4R3C	SMEK3P, PPP4R3CP	FLJ32867, FLFL3P, smk1	ENSG00000224960	protein-coding gene
HGNC:23788	PPP4R4	KIAA1622	PP4R4, CFAP14	ENSG00000119698	protein-coding gene
HGNC:9322	PPP5C	PPP5	PP5	ENSG00000011485	protein-coding gene
HGNC:58175	PPP5C-AS1			ENSG00000269151	non-coding RNA
HGNC:44209	PPP5D1P	PPP5D1		ENSG00000230510	pseudogene
HGNC:9323	PPP6C		PP6	ENSG00000119414	protein-coding gene
HGNC:34077	PPP6CP				pseudogene
HGNC:29195	PPP6R1	KIAA1115, SAPS1	SAP190	ENSG00000105063	protein-coding gene
HGNC:19253	PPP6R2	KIAA0685, SAPS2	dJ579N16.1, SAP190	ENSG00000100239	protein-coding gene
HGNC:39605	PPP6R2P1			ENSG00000233442	pseudogene
HGNC:1173	PPP6R3	C11orf23, SAPS3	SAPLa, DKFZp781E2374, DKFZp781O2362, DKFZp781E17107, SAP190, SAPL, PP6R3, FLJ11058, FLJ43065, KIAA1558, MGC125711, MGC125712	ENSG00000110075	protein-coding gene
HGNC:30025	PPRC1		PRC, KIAA0595, MGC74642	ENSG00000148840	protein-coding gene
HGNC:9325	PPT1	PPT	CLN1, INCL	ENSG00000131238	protein-coding gene
HGNC:9326	PPT2			ENSG00000221988	protein-coding gene
HGNC:48343	PPT2-EGFL8			ENSG00000258388	other
HGNC:30695	PPTC7		TA-PP2C	ENSG00000196850	protein-coding gene
HGNC:28954	PPWD1		KIAA0073	ENSG00000113593	protein-coding gene
HGNC:9327	PPY		PNP	ENSG00000108849	protein-coding gene
HGNC:9328	PPY2P	PPY2		ENSG00000265060	pseudogene
HGNC:9330	PQBP1	RENS1, MRXS8, SHS, MRX55, MRX2, MRXS3		ENSG00000102103	protein-coding gene
HGNC:30591	PRAC1	C17orf92, PRAC		ENSG00000159182	protein-coding gene
HGNC:30143	PRAC2	C17orf93, NCRNA00253, HOXB13-AS1, HOXB-AS5		ENSG00000229637	protein-coding gene
HGNC:16047	PRADC1	C2orf7	MGC13004, PAP21, hPAP21	ENSG00000135617	protein-coding gene
HGNC:44534	PRADC1P1			ENSG00000236165	pseudogene
HGNC:40168	PRADX			ENSG00000235027	non-coding RNA
HGNC:28911	PRAF2		JM4, Yip6a	ENSG00000243279	protein-coding gene
HGNC:25438	PRAG1		DKFZp761P0423, SgK223, PRAGMIN, PEAK2, NACK	ENSG00000275342	protein-coding gene
HGNC:52646	PRAL		lncRNA-PRAL	ENSG00000279296	non-coding RNA
HGNC:30091	PRAM1		PML-RAR	ENSG00000133246	protein-coding gene
HGNC:9336	PRAME	MAPE	CT130	ENSG00000185686	protein-coding gene
HGNC:58774	PRAME-AS		LL22NC03-63E9.3	ENSG00000220891	non-coding RNA
HGNC:28840	PRAMEF1			ENSG00000116721	protein-coding gene
HGNC:28841	PRAMEF2		FLJ43580	ENSG00000120952	protein-coding gene
HGNC:31971	PRAMEF4		RP5-845O24.6	ENSG00000243073	protein-coding gene
HGNC:27995	PRAMEF5	PRAMEF23	PRAMEF5L	ENSG00000270601	protein-coding gene
HGNC:30583	PRAMEF6			ENSG00000232423	protein-coding gene
HGNC:28415	PRAMEF7			ENSG00000204510	protein-coding gene
HGNC:24074	PRAMEF8			ENSG00000182330	protein-coding gene
HGNC:27996	PRAMEF9			ENSG00000204505	protein-coding gene
HGNC:27997	PRAMEF10			ENSG00000187545	protein-coding gene
HGNC:14086	PRAMEF11			ENSG00000239810	protein-coding gene
HGNC:22125	PRAMEF12		OTTHUMG00000001927	ENSG00000116726	protein-coding gene
HGNC:13262	PRAMEF13			ENSG00000279169	protein-coding gene
HGNC:13576	PRAMEF14		OTTHUMG00000007916	ENSG00000204481	protein-coding gene
HGNC:26764	PRAMEF15		OTTHUMG00000007921	ENSG00000204501	protein-coding gene
HGNC:29485	PRAMEF17		OTTHUMG00000007909	ENSG00000204479	protein-coding gene
HGNC:30693	PRAMEF18			ENSG00000279804	protein-coding gene
HGNC:24908	PRAMEF19		OTTHUMG00000007919	ENSG00000204480	protein-coding gene
HGNC:25224	PRAMEF20	PRAMEF21	OTTHUMG00000007911, OTTHUMT00000008157	ENSG00000204478	protein-coding gene
HGNC:34393	PRAMEF22		PRAMEF3L	ENSG00000276816	other
HGNC:49179	PRAMEF25			ENSG00000229571	protein-coding gene
HGNC:49178	PRAMEF26			ENSG00000280267	protein-coding gene
HGNC:51234	PRAMEF27			ENSG00000274764	protein-coding gene
HGNC:51890	PRAMEF28P	PRAMEF28		ENSG00000274178	pseudogene
HGNC:51891	PRAMEF29P			ENSG00000234064	pseudogene
HGNC:51892	PRAMEF30P			ENSG00000231103	pseudogene
HGNC:51893	PRAMEF31P			ENSG00000250894	pseudogene
HGNC:51894	PRAMEF32P			ENSG00000231219	pseudogene
HGNC:49193	PRAMEF33	PRAMEF33P		ENSG00000237700	protein-coding gene
HGNC:51895	PRAMEF34P			ENSG00000277862	pseudogene
HGNC:51896	PRAMEF35P			ENSG00000236179	pseudogene
HGNC:51897	PRAMEF36P			ENSG00000229978	pseudogene
HGNC:34302	PRAMENP	PRAMEL, PRAMEF24P	FLJ16327	ENSG00000197549	pseudogene
HGNC:51126	PRANCR	LINC01481, CNOT2-DT		ENSG00000257815	non-coding RNA
HGNC:23304	PRAP1		UPA	ENSG00000165828	protein-coding gene
HGNC:9337	PRB1		PM, PMF, PMS, PRB1M, PRB1L	ENSG00000251655	protein-coding gene
HGNC:9338	PRB2		PRPPRB1, Ps, cP7	ENSG00000121335	protein-coding gene
HGNC:9339	PRB3		PRG	ENSG00000197870	protein-coding gene
HGNC:9340	PRB4			ENSG00000230657	protein-coding gene
HGNC:9341	PRC1		ASE1, MAP65	ENSG00000198901	protein-coding gene
HGNC:48587	PRC1-AS1			ENSG00000258725	non-coding RNA
HGNC:9343	PRCC		RCCP1	ENSG00000143294	protein-coding gene
HGNC:32528	PRCD		RP36	ENSG00000214140	protein-coding gene
HGNC:9344	PRCP		PCP, HUMPCP	ENSG00000137509	protein-coding gene
HGNC:54653	PRCPP1			ENSG00000232556	pseudogene
HGNC:9346	PRDM1	BLIMP1	PRDI-BF1, Blimp-1	ENSG00000057657	protein-coding gene
HGNC:9347	PRDM2		RIZ, RIZ1, RIZ2, KMT8, MTB-ZF, HUMHOXY1, KMT8A	ENSG00000116731	protein-coding gene
HGNC:9348	PRDM4		PFM1	ENSG00000110851	protein-coding gene
HGNC:56186	PRDM4-AS1			ENSG00000258136	non-coding RNA
HGNC:9349	PRDM5		PFM2	ENSG00000138738	protein-coding gene
HGNC:58880	PRDM5-DT				non-coding RNA
HGNC:9350	PRDM6		PRISM, KMT8C	ENSG00000061455	protein-coding gene
HGNC:55869	PRDM6-AS1			ENSG00000223652	non-coding RNA
HGNC:9351	PRDM7		ZNF910	ENSG00000126856	protein-coding gene
HGNC:13993	PRDM8		KMT8D	ENSG00000152784	protein-coding gene
HGNC:55581	PRDM8-AS1			ENSG00000248719	non-coding RNA
HGNC:13994	PRDM9	MSBP3	PFM6, ZNF899, KMT8B, Meisetz	ENSG00000164256	protein-coding gene
HGNC:59016	PRDM9-AS1				non-coding RNA
HGNC:59017	PRDM9-AS2			ENSG00000307089	non-coding RNA
HGNC:13995	PRDM10		KIAA1231, PFM7, MGC131802	ENSG00000170325	protein-coding gene
HGNC:30468	PRDM10-DT	C11orf37, NCRNA00167, LINC00167	FLJ31394	ENSG00000233220	non-coding RNA
HGNC:13996	PRDM11		PFM8	ENSG00000019485	protein-coding gene
HGNC:13997	PRDM12		PFM9	ENSG00000130711	protein-coding gene
HGNC:13998	PRDM13		PFM10	ENSG00000112238	protein-coding gene
HGNC:14001	PRDM14			ENSG00000147596	protein-coding gene
HGNC:13999	PRDM15	ZNF298, C21orf83		ENSG00000141956	protein-coding gene
HGNC:14000	PRDM16		MEL1, PFM13, KIAA1675, MGC166915, KMT8F	ENSG00000142611	protein-coding gene
HGNC:48664	PRDM16-DT	LINC00982	FLJ42875, lnc-dPrdm16	ENSG00000177133	non-coding RNA
HGNC:9352	PRDX1	PAGA	NKEFA	ENSG00000117450	protein-coding gene
HGNC:11711	PRDX1P1	PAGB, TDPX2		ENSG00000214121	pseudogene
HGNC:9353	PRDX2	TDPX1	PRP, NKEFB, TSA, PRXII, PRX2, MGC4104	ENSG00000167815	protein-coding gene
HGNC:30020	PRDX2P1			ENSG00000215049	pseudogene
HGNC:44967	PRDX2P2			ENSG00000213724	pseudogene
HGNC:44968	PRDX2P3			ENSG00000249140	pseudogene
HGNC:44969	PRDX2P4			ENSG00000213177	pseudogene
HGNC:9354	PRDX3	AOP1	MER5, AOP-1, SP-22	ENSG00000165672	protein-coding gene
HGNC:39264	PRDX3P1			ENSG00000229598	pseudogene
HGNC:39265	PRDX3P2			ENSG00000231468	pseudogene
HGNC:39266	PRDX3P3			ENSG00000234701	pseudogene
HGNC:44643	PRDX3P4			ENSG00000239926	pseudogene
HGNC:17169	PRDX4		AOE37-2	ENSG00000123131	protein-coding gene
HGNC:43598	PRDX4P1			ENSG00000248987	pseudogene
HGNC:43599	PRDX4P2				pseudogene
HGNC:9355	PRDX5		ACR1, AOEB166, MGC142285, PRXV, PMP20, B166, PRDX6, PLP, SBBI10, MGC117264, MGC142283	ENSG00000126432	protein-coding gene
HGNC:56432	PRDX5P1			ENSG00000242364	pseudogene
HGNC:16753	PRDX6		AOP2, KIAA0106, 1-Cys, NSGPx, PRX, aiPLA2, MGC46173, p29	ENSG00000117592	protein-coding gene
HGNC:54870	PRDX6-AS1			ENSG00000203739	non-coding RNA
HGNC:9356	PREB		SEC12	ENSG00000138073	protein-coding gene
HGNC:27492	PRECSIT	C13orf29, NCRNA00346, LINC00346		ENSG00000255874	non-coding RNA
HGNC:30255	PRELID1		CGI-106, PX19, PRELI	ENSG00000169230	protein-coding gene
HGNC:43886	PRELID1P1			ENSG00000217325	pseudogene
HGNC:43887	PRELID1P2			ENSG00000217408	pseudogene
HGNC:43888	PRELID1P3			ENSG00000235816	pseudogene
HGNC:43889	PRELID1P4			ENSG00000259592	pseudogene
HGNC:54770	PRELID1P5			ENSG00000226986	pseudogene
HGNC:54771	PRELID1P6			ENSG00000228305	pseudogene
HGNC:54772	PRELID1P7			ENSG00000230748	pseudogene
HGNC:28306	PRELID2		MGC21644, FLJ38376	ENSG00000186314	protein-coding gene
HGNC:43892	PRELID2P1			ENSG00000257336	pseudogene
HGNC:24639	PRELID3A	C18orf43, SLMO1	HFL-EDDG1, FLJ31484	ENSG00000141391	protein-coding gene
HGNC:15892	PRELID3B	C20orf45, SLMO2	dJ543J19.5	ENSG00000101166	protein-coding gene
HGNC:49063	PRELID3BP1	SLMO2P1		ENSG00000226226	pseudogene
HGNC:49064	PRELID3BP2	SLMO2P2		ENSG00000271242	pseudogene
HGNC:49065	PRELID3BP3	SLMO2P3		ENSG00000264907	pseudogene
HGNC:49066	PRELID3BP4			ENSG00000251163	pseudogene
HGNC:49067	PRELID3BP5			ENSG00000251656	pseudogene
HGNC:49068	PRELID3BP6			ENSG00000249516	pseudogene
HGNC:49069	PRELID3BP7			ENSG00000250711	pseudogene
HGNC:49070	PRELID3BP8			ENSG00000270741	pseudogene
HGNC:49071	PRELID3BP9				pseudogene
HGNC:49072	PRELID3BP10			ENSG00000236105	pseudogene
HGNC:49073	PRELID3BP11	SLMO2P11		ENSG00000231108	pseudogene
HGNC:9357	PRELP		SLRR2A, prolargin	ENSG00000188783	protein-coding gene
HGNC:9358	PREP			ENSG00000085377	protein-coding gene
HGNC:40466	PREP-AS1			ENSG00000231628	non-coding RNA
HGNC:30228	PREPL		KIAA0436	ENSG00000138078	protein-coding gene
HGNC:32594	PREX1		KIAA1415, P-REX1	ENSG00000124126	protein-coding gene
HGNC:22950	PREX2	DEPDC2	DEP.2, FLJ12987, P-REX2, PPP1R129	ENSG00000046889	protein-coding gene
HGNC:9360	PRF1		PFP, P1, HPLH2	ENSG00000180644	protein-coding gene
HGNC:9362	PRG2		MBP, BMPG, proMBP	ENSG00000186652	protein-coding gene
HGNC:9363	PRG3		MBPH, MBP2	ENSG00000156575	protein-coding gene
HGNC:9364	PRG4	CACP	JCAP, SZP, MSF, HAPO, bG174L6.2, FLJ32635	ENSG00000116690	protein-coding gene
HGNC:9366	PRH1		Pa	ENSG00000231887	protein-coding gene
HGNC:9367	PRH2		Pr	ENSG00000134551	protein-coding gene
HGNC:17019	PRICKLE1		FLJ31937, EPM1B, RILP	ENSG00000139174	protein-coding gene
HGNC:58444	PRICKLE1-AS1			ENSG00000257225	non-coding RNA
HGNC:56609	PRICKLE1P1			ENSG00000243584	pseudogene
HGNC:20340	PRICKLE2		DKFZp686D143	ENSG00000163637	protein-coding gene
HGNC:40916	PRICKLE2-AS1			ENSG00000241572	non-coding RNA
HGNC:40917	PRICKLE2-AS2			ENSG00000241101	non-coding RNA
HGNC:40918	PRICKLE2-AS3			ENSG00000226017	non-coding RNA
HGNC:52829	PRICKLE2-DT			ENSG00000244564	non-coding RNA
HGNC:6645	PRICKLE3	LMO6		ENSG00000012211	protein-coding gene
HGNC:16805	PRICKLE4	C6orf49	OEBT, DKFZp761H221	ENSG00000278224	protein-coding gene
HGNC:9369	PRIM1			ENSG00000198056	protein-coding gene
HGNC:9370	PRIM2	PRIM2A		ENSG00000146143	protein-coding gene
HGNC:55759	PRIM2BP			ENSG00000283453	pseudogene
HGNC:18319	PRIMA1		PRIMA	ENSG00000175785	protein-coding gene
HGNC:26575	PRIMPOL	CCDC111	FLJ33167	ENSG00000164306	protein-coding gene
HGNC:34235	PRINS		NCRNA00074		non-coding RNA
HGNC:9376	PRKAA1		AMPKa1	ENSG00000132356	protein-coding gene
HGNC:59032	PRKAA1-AS1			ENSG00000300383	non-coding RNA
HGNC:59033	PRKAA1-DT			ENSG00000288911	non-coding RNA
HGNC:9377	PRKAA2	PRKAA	AMPK, AMPKa2	ENSG00000162409	protein-coding gene
HGNC:9378	PRKAB1			ENSG00000111725	protein-coding gene
HGNC:58183	PRKAB1-AS1			ENSG00000248636	non-coding RNA
HGNC:9379	PRKAB2			ENSG00000131791	protein-coding gene
HGNC:9380	PRKACA		PKACa	ENSG00000072062	protein-coding gene
HGNC:9381	PRKACB		PKACb	ENSG00000142875	protein-coding gene
HGNC:55245	PRKACB-DT			ENSG00000271576	non-coding RNA
HGNC:9382	PRKACG		PKACg	ENSG00000165059	protein-coding gene
HGNC:9385	PRKAG1			ENSG00000181929	protein-coding gene
HGNC:9386	PRKAG2		AAKG, AAKG2, H91620p, WPWS, CMH6	ENSG00000106617	protein-coding gene
HGNC:40468	PRKAG2-AS1			ENSG00000239911	non-coding RNA
HGNC:40467	PRKAG2-AS2			ENSG00000242048	non-coding RNA
HGNC:9387	PRKAG3			ENSG00000115592	protein-coding gene
HGNC:9388	PRKAR1A	PRKAR1, TSE1, PKR1, Prkar1alpha	CNC1	ENSG00000108946	protein-coding gene
HGNC:9389	PRKAR1AP1	PRKAR1AP		ENSG00000233401	pseudogene
HGNC:9390	PRKAR1B			ENSG00000188191	protein-coding gene
HGNC:40470	PRKAR1B-AS1			ENSG00000237181	non-coding RNA
HGNC:40469	PRKAR1B-AS2			ENSG00000229380	non-coding RNA
HGNC:9391	PRKAR2A	PRKAR2		ENSG00000114302	protein-coding gene
HGNC:40471	PRKAR2A-AS1			ENSG00000224424	non-coding RNA
HGNC:9392	PRKAR2B	PRKAR2		ENSG00000005249	protein-coding gene
HGNC:40472	PRKAR2B-AS1			ENSG00000243193	non-coding RNA
HGNC:9393	PRKCA	PKCA	PKCα	ENSG00000154229	protein-coding gene
HGNC:51347	PRKCA-AS1			ENSG00000264630	non-coding RNA
HGNC:9395	PRKCB	PRKCB2, PKCB, PRKCB1	PKCβ	ENSG00000166501	protein-coding gene
HGNC:9399	PRKCD			ENSG00000163932	protein-coding gene
HGNC:9401	PRKCE			ENSG00000171132	protein-coding gene
HGNC:40474	PRKCE-AS1			ENSG00000228481	non-coding RNA
HGNC:40475	PRKCE-AS2			ENSG00000232696	non-coding RNA
HGNC:9402	PRKCG	PKCG, SCA14	PKCC, MGC57564, PKCγ	ENSG00000126583	protein-coding gene
HGNC:9403	PRKCH	PRKCL	PKC-L, PKCL	ENSG00000027075	protein-coding gene
HGNC:55588	PRKCH-AS1			ENSG00000247287	non-coding RNA
HGNC:58291	PRKCH-AS2			ENSG00000258926	non-coding RNA
HGNC:9404	PRKCI	DXS1179E	PKCI	ENSG00000163558	protein-coding gene
HGNC:55035	PRKCIP1			ENSG00000237682	pseudogene
HGNC:9410	PRKCQ			ENSG00000065675	protein-coding gene
HGNC:44689	PRKCQ-AS1		ENST00000414894.1	ENSG00000237943	non-coding RNA
HGNC:9411	PRKCSH	G19P1, PCLD, PLD1	VASAP-60, GIIB, PKCSH, 80K-H, AGE-R2, GIIbeta, GluIIbeta	ENSG00000130175	protein-coding gene
HGNC:9412	PRKCZ		PKC2	ENSG00000067606	protein-coding gene
HGNC:40477	PRKCZ-AS1		RP11-181G12.2	ENSG00000182873	non-coding RNA
HGNC:55824	PRKCZ-DT			ENSG00000226969	non-coding RNA
HGNC:9407	PRKD1	PRKCM	PKD1, PKCM, PKD, PKC-mu	ENSG00000184304	protein-coding gene
HGNC:17293	PRKD2		PKD2, HSPC187, DKFZP586E0820	ENSG00000105287	protein-coding gene
HGNC:9408	PRKD3	PRKCN	PKD3, EPK2	ENSG00000115825	protein-coding gene
HGNC:55762	PRKD3-DT			ENSG00000232028	non-coding RNA
HGNC:9413	PRKDC	HYRC, HYRC1	DNPK1, p350, DNAPK, XRCC7, DNA-PKcs, DNAPKc, DNA-PKC, p460	ENSG00000253729	protein-coding gene
HGNC:9414	PRKG1	PRKGR1B, PRKG1B	PGK, PKG, PKG1	ENSG00000185532	protein-coding gene
HGNC:45029	PRKG1-AS1		RP11-573I11.2	ENSG00000236671	non-coding RNA
HGNC:9416	PRKG2		cGKII, PRKGR2, PKG2	ENSG00000138669	protein-coding gene
HGNC:40478	PRKG2-AS1			ENSG00000251059	non-coding RNA
HGNC:58836	PRKG2-AS2			ENSG00000303498	non-coding RNA
HGNC:8607	PRKN	PARK2	PDJ, AR-JP, parkin	ENSG00000185345	protein-coding gene
HGNC:9438	PRKRA		PACT, RAX, HSD14, DYT16	ENSG00000180228	protein-coding gene
HGNC:33447	PRKRAP1			ENSG00000238248	pseudogene
HGNC:21894	PRKRIP1		C114, FLJ13902, KRBOX3	ENSG00000128563	protein-coding gene
HGNC:9441	PRKX		PKX1	ENSG00000183943	protein-coding gene
HGNC:40479	PRKX-AS1			ENSG00000236188	non-coding RNA
HGNC:9442	PRKXP1			ENSG00000259205	pseudogene
HGNC:9443	PRKXP2				pseudogene
HGNC:9444	PRKY		PRKYP, PRKXP3	ENSG00000099725	pseudogene
HGNC:9445	PRL		pPRL	ENSG00000172179	protein-coding gene
HGNC:17945	PRLH		PRH	ENSG00000071677	protein-coding gene
HGNC:4464	PRLHR	GPR10	PrRPR	ENSG00000119973	protein-coding gene
HGNC:9446	PRLR			ENSG00000113494	protein-coding gene
HGNC:9447	PRM1		CT94.1	ENSG00000175646	protein-coding gene
HGNC:9448	PRM2		CT94.2	ENSG00000122304	protein-coding gene
HGNC:13732	PRM3			ENSG00000178257	protein-coding gene
HGNC:5187	PRMT1	HRMT1L2	HCP1, ANM1	ENSG00000126457	protein-coding gene
HGNC:49611	PRMT1P1			ENSG00000270706	pseudogene
HGNC:5186	PRMT2	HRMT1L1	MGC111373	ENSG00000160310	protein-coding gene
HGNC:24497	PRMT2IP	C15orf39	DKFZP434H132, FLJ46337	ENSG00000167173	protein-coding gene
HGNC:30163	PRMT3	HRMT1L3		ENSG00000185238	protein-coding gene
HGNC:10894	PRMT5	HRMT1L5, SKB1	SKB1Hs	ENSG00000100462	protein-coding gene
HGNC:40533	PRMT5-AS1			ENSG00000237054	non-coding RNA
HGNC:55482	PRMT5-DT			ENSG00000257285	non-coding RNA
HGNC:32524	PRMT5P1			ENSG00000249004	pseudogene
HGNC:18241	PRMT6	HRMT1L6	FLJ10559	ENSG00000198890	protein-coding gene
HGNC:25557	PRMT7		FLJ10640, KIAA1933	ENSG00000132600	protein-coding gene
HGNC:5188	PRMT8	HRMT1L3, HRMT1L4		ENSG00000111218	protein-coding gene
HGNC:25099	PRMT9	PRMT10	FLJ46629	ENSG00000164169	protein-coding gene
HGNC:48942	PRNCR1	PCAT8		ENSG00000282961	non-coding RNA
HGNC:15748	PRND		DPL, dJ1068H6.4, DOPPEL, PrPLP	ENSG00000171864	protein-coding gene
HGNC:9449	PRNP	PRIP, GSS, CJD	CD230, PRP, AltPrP	ENSG00000171867	protein-coding gene
HGNC:18046	PRNT		M8	ENSG00000180259	non-coding RNA
HGNC:41906	PROB1	C5orf65		ENSG00000228672	protein-coding gene
HGNC:9451	PROC			ENSG00000115718	protein-coding gene
HGNC:28600	PROCA1		MGC39650	ENSG00000167525	protein-coding gene
HGNC:9452	PROCR		EPCR, CCD41, CD201	ENSG00000101000	protein-coding gene
HGNC:9453	PRODH		HSPOX2, PRODH1, PIG6, PRODH2, TP53I6, POX	ENSG00000100033	protein-coding gene
HGNC:17325	PRODH2		HSPOX1	ENSG00000250799	protein-coding gene
HGNC:56289	PRODHLP			ENSG00000161132	pseudogene
HGNC:18454	PROK1		PK1, PRK1, EGVEGF, EG-VEGF	ENSG00000143125	protein-coding gene
HGNC:18455	PROK2		PK2, BV8, MIT1, KAL4	ENSG00000163421	protein-coding gene
HGNC:58092	PROK2-DT		TCONS_00006091	ENSG00000287131	non-coding RNA
HGNC:4524	PROKR1	GPR73	PKR1, ZAQ, GPR73a	ENSG00000169618	protein-coding gene
HGNC:15836	PROKR2	GPR73L1, KAL3	GPR73b, PKR2, GPRg2, dJ680N4.3	ENSG00000101292	protein-coding gene
HGNC:9454	PROM1	PROML1, MCDR2, STGD4	AC133, CD133, RP41, CORD12	ENSG00000007062	protein-coding gene
HGNC:20685	PROM2			ENSG00000155066	protein-coding gene
HGNC:9455	PROP1			ENSG00000175325	protein-coding gene
HGNC:19958	PRORP	KIAA0391	MRPP3	ENSG00000100890	protein-coding gene
HGNC:34379	PRORSD1P	NCRNA00117, PRDXDD1P	Prdxdd1, Ybakd1, ProX, ProXp-ala	ENSG00000162997	pseudogene
HGNC:38732	PRORY	CYorf17		ENSG00000183146	protein-coding gene
HGNC:9456	PROS1	PROS		ENSG00000184500	protein-coding gene
HGNC:9458	PROS2P	PROS2, PROSP		ENSG00000189002	pseudogene
HGNC:20291	PROSER1	C13orf23	bA50D16.2, FLJ12661	ENSG00000120685	protein-coding gene
HGNC:23728	PROSER2	C10orf47	MGC35403	ENSG00000148426	protein-coding gene
HGNC:27343	PROSER2-AS1			ENSG00000225778	non-coding RNA
HGNC:25204	PROSER3	C19orf55	FLJ30657	ENSG00000167595	protein-coding gene
HGNC:9459	PROX1			ENSG00000117707	protein-coding gene
HGNC:43656	PROX1-AS1			ENSG00000230461	non-coding RNA
HGNC:26715	PROX2		FLJ36749	ENSG00000119608	protein-coding gene
HGNC:9460	PROZ		PZ	ENSG00000126231	protein-coding gene
HGNC:17346	PRP4K	PRPF4B	Prp4, PR4H, KIAA0536, Prp4B	ENSG00000112739	protein-coding gene
HGNC:17348	PRPF3	RP18	Prp3, hPrp3, SNRNP90	ENSG00000117360	protein-coding gene
HGNC:17349	PRPF4		Prp4p, HPRP4, HPRP4P, PRP4, SNRNP60	ENSG00000136875	protein-coding gene
HGNC:55055	PRPF4BP1			ENSG00000224217	pseudogene
HGNC:15860	PRPF6	C20orf14	TOM, bB152O15.1, ANT-1, U5-102K, Prp6, hPrp6, SNRNP102, RP60	ENSG00000101161	protein-coding gene
HGNC:17340	PRPF8	RP13	PRPC8, Prp8, hPrp8, SNRNP220	ENSG00000174231	protein-coding gene
HGNC:17351	PRPF18		hPrp18	ENSG00000165630	protein-coding gene
HGNC:17896	PRPF19	PRP19	UBOX4, NMP200, PSO4, hPSO4, SNEV	ENSG00000110107	protein-coding gene
HGNC:55484	PRPF19-DT			ENSG00000257052	non-coding RNA
