HGNC ID	Approved symbol	Previous symbols	Alias symbols	Ensembl gene ID	Locus group
HGNC:54751	ABCF2-H2BK1	ABCF2-H2BE1		ENSG00000285292	other
HGNC:48841	ABCF2P1			ENSG00000242159	pseudogene
HGNC:48842	ABCF2P2			ENSG00000228769	pseudogene
HGNC:72	ABCF3		EST201864	ENSG00000161204	protein-coding gene
HGNC:73	ABCG1		ABC8	ENSG00000160179	protein-coding gene
HGNC:74	ABCG2		EST157481, MXR, BCRP, ABCP, CD338	ENSG00000118777	protein-coding gene
HGNC:13884	ABCG4		WHITE2	ENSG00000172350	protein-coding gene
HGNC:13886	ABCG5		STSL	ENSG00000138075	protein-coding gene
HGNC:13887	ABCG8		GBD4	ENSG00000143921	protein-coding gene
HGNC:17553	ABHD1		LABH1, FLJ36128	ENSG00000143994	protein-coding gene
HGNC:18717	ABHD2		LABH2	ENSG00000140526	protein-coding gene
HGNC:18718	ABHD3		LABH3	ENSG00000158201	protein-coding gene
HGNC:20154	ABHD4		FLJ12816	ENSG00000100439	protein-coding gene
HGNC:21396	ABHD5		CGI-58, NCIE2	ENSG00000011198	protein-coding gene
HGNC:21398	ABHD6			ENSG00000163686	protein-coding gene
HGNC:23759	ABHD8		FLJ11743, MGC14280, MGC2512	ENSG00000127220	protein-coding gene
HGNC:25656	ABHD10		FLJ11342	ENSG00000144827	protein-coding gene
HGNC:16407	ABHD11	WBSCR21	PP1226	ENSG00000106077	protein-coding gene
HGNC:15868	ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	ENSG00000100997	protein-coding gene
HGNC:19837	ABHD12B	C14orf29	BEM46L3	ENSG00000131969	protein-coding gene
HGNC:20293	ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1	ENSG00000139826	protein-coding gene
HGNC:24538	ABHD14A		DKFZP564O243, DORZ1	ENSG00000248487	protein-coding gene
HGNC:38856	ABHD14A-ACY1			ENSG00000114786	other
HGNC:28235	ABHD14B		MGC15429, CIB	ENSG00000114779	protein-coding gene
HGNC:26971	ABHD15			ENSG00000168792	protein-coding gene
HGNC:49685	ABHD15-AS1		linc-TP53I13, lnc-TP53I13	ENSG00000264031	non-coding RNA
HGNC:13921	ABHD16A	BAT5	NG26, D6S82E	ENSG00000204427	protein-coding gene
HGNC:59161	ABHD16A-AS1				non-coding RNA
HGNC:16128	ABHD16B	C20orf135	dJ591C20.1	ENSG00000183260	protein-coding gene
HGNC:58392	ABHD16B-AS1			ENSG00000268858	non-coding RNA
HGNC:28756	ABHD17A	C19orf27, FAM108A1	MGC5244	ENSG00000129968	protein-coding gene
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	ENSG00000198658	pseudogene
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P		ENSG00000250536	pseudogene
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P		ENSG00000229107	pseudogene
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P		ENSG00000263366	pseudogene
HGNC:34044	ABHD17AP6	FAM108A7P		ENSG00000226981	pseudogene
HGNC:38508	ABHD17AP7	FAM108A8P		ENSG00000260864	pseudogene
HGNC:38509	ABHD17AP8	FAM108A9P		ENSG00000260540	pseudogene
HGNC:38510	ABHD17AP9	FAM108A10P		ENSG00000261536	pseudogene
HGNC:24278	ABHD17B	C9orf77, FAM108B1	CGI-67	ENSG00000107362	protein-coding gene
HGNC:26925	ABHD17C	FAM108C1		ENSG00000136379	protein-coding gene
HGNC:26111	ABHD18	C4orf29	FLJ21106	ENSG00000164074	protein-coding gene
HGNC:11320	ABI1	SSH3BP1	E3B1, ABI-1	ENSG00000136754	protein-coding gene
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P		ENSG00000271484	pseudogene
HGNC:24011	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	ENSG00000138443	protein-coding gene
HGNC:29859	ABI3		NESH, SSH3BP3	ENSG00000108798	protein-coding gene
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH	ENSG00000154175	protein-coding gene
HGNC:1364	ABITRAM	C9orf6, FAM206A	CG-8, FLJ20457, Simiate	ENSG00000119328	protein-coding gene
HGNC:39851	ABITRAMP1	FAM206BP		ENSG00000251106	pseudogene
HGNC:76	ABL1	ABL	JTK7, c-ABL, p150	ENSG00000097007	protein-coding gene
HGNC:77	ABL2	ABLL	ARG	ENSG00000143322	protein-coding gene
HGNC:78	ABLIM1	LIMAB1, ABLIM	abLIM, limatin	ENSG00000099204	protein-coding gene
HGNC:19195	ABLIM2		KIAA1808	ENSG00000163995	protein-coding gene
HGNC:58727	ABLIM2-DT			ENSG00000290015	non-coding RNA
HGNC:29132	ABLIM3		KIAA0843	ENSG00000173210	protein-coding gene
HGNC:79	ABO		A3GALNT, A3GALT1	ENSG00000175164	protein-coding gene
HGNC:81	ABR		MDB	ENSG00000159842	protein-coding gene
HGNC:55674	ABR-AS1			ENSG00000235361	non-coding RNA
HGNC:30655	ABRA		STARS	ENSG00000174429	protein-coding gene
HGNC:21230	ABRACL	C6orf115	PRO2013, HSPC280, Costars	ENSG00000146386	protein-coding gene
HGNC:25829	ABRAXAS1	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS	ENSG00000163322	protein-coding gene
HGNC:56461	ABRAXAS1P1			ENSG00000213431	pseudogene
HGNC:56462	ABRAXAS1P2			ENSG00000253384	pseudogene
HGNC:28975	ABRAXAS2	KIAA0157, FAM175B	Em:AC068896.4, ABRO1	ENSG00000165660	protein-coding gene
HGNC:17369	ABT1		Esf2	ENSG00000146109	protein-coding gene
HGNC:39557	ABT1P1			ENSG00000250496	pseudogene
HGNC:18275	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2	ENSG00000114626	protein-coding gene
HGNC:23842	ABTB2		DKFZP586C1619, BTBD22, ABTB2A	ENSG00000166016	protein-coding gene
HGNC:23844	ABTB3	BTBD11	FLJ33957, ABTB2B	ENSG00000151136	protein-coding gene
HGNC:82	ACAA1		Lnc-Myd88	ENSG00000060971	protein-coding gene
HGNC:83	ACAA2		DSAEC	ENSG00000167315	protein-coding gene
HGNC:55880	ACAA2P1			ENSG00000233585	pseudogene
HGNC:84	ACACA	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1	ENSG00000278540	protein-coding gene
HGNC:85	ACACB		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta	ENSG00000076555	protein-coding gene
HGNC:87	ACAD8			ENSG00000151498	protein-coding gene
HGNC:21497	ACAD9		NPD002, MGC14452	ENSG00000177646	protein-coding gene
HGNC:56086	ACAD9-DT			ENSG00000287110	non-coding RNA
HGNC:21597	ACAD10		MGC5601	ENSG00000111271	protein-coding gene
HGNC:30211	ACAD11		FLJ12592	ENSG00000240303	protein-coding gene
HGNC:88	ACADL		LCAD, ACAD4	ENSG00000115361	protein-coding gene
HGNC:89	ACADM		MCAD, MCADH, ACAD1	ENSG00000117054	protein-coding gene
HGNC:90	ACADS		SCAD, ACAD3	ENSG00000122971	protein-coding gene
HGNC:91	ACADSB		SBCAD, ACAD7	ENSG00000196177	protein-coding gene
HGNC:92	ACADVL		VLCAD, LCACD, ACAD6	ENSG00000072778	protein-coding gene
HGNC:319	ACAN	MSK16, CSPG1, AGC1	CSPGCP	ENSG00000157766	protein-coding gene
HGNC:16467	ACAP1	CENTB1	KIAA0050	ENSG00000072818	protein-coding gene
HGNC:16469	ACAP2	CENTB2	KIAA0041, CNT-B2	ENSG00000114331	protein-coding gene
HGNC:41426	ACAP2-IT1			ENSG00000229325	non-coding RNA
HGNC:16754	ACAP3	CENTB5	KIAA1716	ENSG00000131584	protein-coding gene
HGNC:93	ACAT1	ACAT	THIL	ENSG00000075239	protein-coding gene
HGNC:94	ACAT2			ENSG00000120437	protein-coding gene
HGNC:15453	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	ENSG00000182827	protein-coding gene
HGNC:40701	ACBD3-AS1		RP11-275I14.4	ENSG00000234478	non-coding RNA
HGNC:23337	ACBD4		FLJ13322	ENSG00000181513	protein-coding gene
HGNC:23338	ACBD5		DKFZp434A2417, KIAA1996	ENSG00000107897	protein-coding gene
HGNC:23339	ACBD6		MGC2404	ENSG00000230124	protein-coding gene
HGNC:17715	ACBD7		FLJ38219, bA455B2.2	ENSG00000176244	protein-coding gene
HGNC:58659	ACBD7P1			ENSG00000225531	pseudogene
HGNC:23989	ACCS		PHACS, ACS	ENSG00000110455	protein-coding gene
HGNC:34391	ACCSL			ENSG00000205126	protein-coding gene
HGNC:56899	ACCSLP1			ENSG00000230570	pseudogene
HGNC:25070	ACD		Ptop, Pip1, Tpp1, Tint1	ENSG00000102977	protein-coding gene
HGNC:2707	ACE	DCP1	ACE1, CD143	ENSG00000159640	protein-coding gene
HGNC:13557	ACE2		ACEH	ENSG00000130234	protein-coding gene
HGNC:56255	ACE2-DT		GS1-594A7.3	ENSG00000225833	non-coding RNA
HGNC:44365	ACE3P			ENSG00000224353	pseudogene
HGNC:18356	ACER1	ASAH3		ENSG00000167769	protein-coding gene
HGNC:23675	ACER2	ASAH3L	FLJ41587, ALKCDase2	ENSG00000177076	protein-coding gene
